1. 失血性休克的“5P”临床表现不正确的是

495. 亚低温疗法适用于
   A. 开放性颅脑损伤
 ->B. 颅内血肿
   C. 外伤性癫痫
   D. 严重脑挫伤及脑干损伤
   E. 颅底骨折

496. 肌力分级中，其中“关节抗部分阻力全范围运动”为肌力几级
   A. 1级
   B. 2级
   C. 3级
 ->D. 4级
   E. 5级

497. 单克隆与多克隆抗体的主要区别之一是
   A. 与抗原结合牢固
   B. 对热稳定
 ->C. 高度特异性
   D. 与之结合的抗原不同
   E. 以上均不是

498. 下列关于ICU患者镇静与镇痛治疗关系的说法正确的是
   A. 镇静与镇痛的治疗应同时进行
   B. 应首先进行镇静治疗
 ->C. 在祛除或减轻导致疼痛、焦虑和躁动的诱因之前，应尽可能首先给予镇痛
   D. 镇静药物
   E. 以上说法均不对

499. 心电图显示，正常节律后出现一长PP间期，长的PP间期与基本的窦性PP间期之间无倍数关系，诊断可考虑
 ->A. 窦性停搏
   B. 窦性心动过缓
   C. 第一度窦房阻滞
   D. 第二度Ⅰ型窦房传导阻滞
   E. 第二度Ⅱ型窦房阻滞

500. 降钙素降低血钙和血磷的主要机制是
 ->A. 减弱溶骨过程，增强成骨过程，抑制肾小管的重吸收
   B. 增强溶骨过程，增强成骨过程，抑制肾小管的重吸收
   C. 增强溶骨过程，减弱成骨过程，抑制肾小管的重吸收
   D. 减弱溶骨过程，增强成骨过程，增强肾小管的重吸收
   E. 增强溶骨过程，减弱成骨过程，增强肾小管的重吸收

501. 受交感神经和副交感神经双重支配的是
 ->A. 睫状肌
   B. 竖毛肌
   C. 肾上腺髓质
   D. 多数汗腺
   E. 皮肤和肌肉血管

502. 传导舌前2/3黏膜味觉的神经是
   A. 迷走神经
   B. 舌咽神经
   C. 舌下神经
 ->D. 面神经
   E. 下牙槽神经

503. 下列有关电击的叙述何者是正确的
   A. 闪电引起的电击经常导致心室颤动
   B. 电击时，当电流由手传到手时的死亡率约为30%
   C. 电击后有关输液疗法，应使用烧伤的公式来治疗
 ->D. 被交流电电击而虚脱时，应尽早给予除颤及行心肺复苏术
   E. 直流电对人体损伤大于交流电

504. 典型预激综合征存在有附加旁路是指
 ->A. 连接心房与心室的房室传导旁路
   B. 房室结折返通路
   C. 窦房结至房室结的传导旁路
   D. 窦房结到心室的传导旁路
   E. 窦房结到心房的传导旁路

505. 有机磷农药中毒的烟碱样症状是
   A. 多汗
 ->B. 肌束颤动
   C. 瞳孔缩小
   D. 支气管痉挛
   E. 流涎

506. 60岁男性，因突发性意识障碍1h来院。到院时，意识已恢复正常。问诊时，心电监护显示突然由原来正常心律转为宽QRS波群；同时，该患者又再次发生意识障碍，且血压130/80 mmHg，脉搏178/min，呼吸22/min，SpO<sub>2</sub>93%。以下叙述最正确的是
   A. 因血压正常，该患者之意识障碍，应非心搏过速引起
 ->B. 应视为不稳定性室性心动过速，予以同步电击
   C. 因血压正常，胺碘酮为药物治疗优先选择
   D. 应先考虑做脑部计算机断层，再决定治疗方式
   E. 请神经内科和心内科会诊后再决定治疗方式

507. 某发热患者体温逐渐上升至39℃或以上，数天后逐渐降至正常，持续数天后又逐渐升高，如此反复多次。应诊断为
   A. 稽留热
   B. 间歇热
 ->C. 波状热
   D. 弛张热
   E. 回归热

508. 心肌梗死后24小时内避免给予
 ->A. 洋地黄
   B. 安体舒通
   C. 吗啡
   D. 硝普钠
   E. 硝酸甘油

509. 对周围型肺癌影像诊断中，诊断意义最大的是
   A. 厚壁空洞
   B. 肿块周围无卫星病灶
   C. 钙化
   D. 肺门或纵隔淋巴结肿大
 ->E. 肿块有分叶和毛刺

510. 哪项不是右冠状动脉的分支
 ->A. 旋支
   B. 右缘支
   C. 窦房结支
   D. 后室间支
   E. 左室前支

511. 下列哪项不属于输血的适应证
   A. 贫血或低蛋白血症
   B. 凝血障碍
   C. 重症感染
 ->D. 消瘦
   E. 急性出血

512. 下列哪项指标可在呼吸机面板上直接测定并显示
 ->A. Ppeak
   B. Pplat
   C. P0.1
   D. PEEPi
   E. auto-PEEP

513. 具有减少炎症介质的产生、释放，并下调炎症反应的物质是
 ->A. ω-3多不饱和脂肪酸
   B. ω-9单不饱和脂肪酸
   C. ω6多不饱和脂肪酸
   D. 膳食纤维
   E. 谷氨酰胺

514. 下列代谢性酸中毒的临床表现中，正确的是
 ->A. 呼吸深快
   B. 四肢湿冷
   C. 皮肤、黏膜樱桃红色
   D. 呼吸中带有酮味
   E. 呼吸浅快

515. 下列诸因素中，哪项是引起DIC晚期出血的主要原因
   A. 纤维蛋白减少
   B. 凝血酶减少
   C. 血管壁通透性增高
   D. 血小板减少
 ->E. 继发性纤溶亢进

516. 单纯扩散和易化扩散的共同特点是
   A. 消耗能量
   B. 均有蛋白质参与
   C. 可逆过程
 ->D. 顺浓度差和电位差转运
   E. 均是转运大分子物质

517. 氨茶碱不具有下列哪种作用
 ->A. 抑制过敏物质释放
   B. 扩张支气管
   C. 扩张血管
   D. 强心、利尿
   E. 兴奋中枢神经

518. 异养菌
   A. 通过光合作用获得能量
   B. 生长不需要维生素
   C. 不能利用二氧化碳
   D. 生长不需要氧气
 ->E. 需要有机物作为碳源

519. 危重病人肾功能改变时的临床表现不包括
   A. 肾小球滤过率减低
   B. 肾小管功能异常
   C. 肾小球滤过膜通透性增高
   D. 肾素分泌增多
 ->E. 甲状旁腺功能减低

520. 经医师资格考试或助理医师考试，取得医师或助理医师资格，可以申请注册，受理机构是
 ->A. 县级以上卫生行政部门
   B. 县级以上人民政府
   C. 省（自治区）级卫生行政部门
   D. 国务院卫生行政部门
   E. 县级以上卫生防疫机构

521. 氧疗总是通过下列方式达到目的
   A. 提高吸入气中氧浓度
 ->B. 提高吸入气中氧分压
   C. 吸入气加温
   D. 吸入气雾化
   E. 吸入气充分湿化

522. 慢性热致疾病的主要临床表现有
   A. 胃肠功能障碍
   B. 慢性热疲劳
   C. 维生素B<sub>1</sub>不足表现
   D. 易发生皮疹
 ->E. 以上都对

523. 抗原不会使机体产生
 ->A. 补体
   B. IgG抗体
   C. 细胞因子
   D. 淋巴因子
   E. IgM抗体

524. 脓毒症（Sepsis）指的是
   A. 血源性感染
   B. G-杆菌引起的全身炎症反应
   C. G+杆菌引起的全身炎症反应
 ->D. 致病微生物引起的全身炎症反应
   E. 全身炎症反应

525. 下列哪项不是测试中心体温常用的方法是
   A. 口腔测温
   B. 直肠测温
 ->C. 腋窝测温
   D. 膀胱测温
   E. 鼓膜测温

526. ARDS机械通气的策略是
 ->A. 小潮气量[Vt5～8 ml/（kg·分钟）]、高PEEP（≥10 cmH<sub>2</sub>O）
   B. 小潮气量[Vt5～8 ml/（kg·分钟）]、中等PEEP（5～8 cmH<sub>2</sub>O）
   C. 小潮气量[Vt5-8 ml/（kg·分钟）]、低PEEP（≤5 cmH<sub>2</sub>O）
   D. 正常潮气量[Vt10～15 ml/（kg·分钟）]、中等PEEP（≤5～8 cmH<sub>2</sub>O）
   E. 大潮气量[≥15 ml/（kg·min）]、高PEEP（≥10 cmH<sub>2</sub>O）

527. 牵涉痛是指
 ->A. 内脏疾病引起体表特定部位的疼痛或痛觉过敏
   B. 伤害性刺激作用于皮肤痛觉感受器
   C. 伤害性刺激作用于内脏痛觉感受器
   D. 肌肉和肌腱受牵拉时所产生的痛觉
   E. 皮肤受切割等刺激时产生的痛觉

528. 关于交感神经对心脏作用的叙述，错误的是
   A. 使房室传导加快
   B. 使冠脉血流量增加
   C. 使心率加快
   D. 对心脏有紧张性作用
 ->E. 使心肌长度——张力曲线右移

529. 对于心房扑动和其他室上性心动过速，推荐初始复律能量值为
   A. 50J～100J
 ->B. 100～200J
   C. 200～300J
   D. 300～360J
   E. 500J

530. 关于突触传递的叙述，错误的是
   A. 兴奋在通过突触传递时只能单向进行
   B. 兴奋通过突触的速度较通过同样距离的神经纤维慢得多
   C. 突触后神经元发生兴奋需要有多个EPSP加以总和
 ->D. 突触前神经元和突触后神经元放电频率相同
   E. 易受内环境理化因素变化影响和易疲劳

531. 关于开胸直视心脏复苏术的操作，描述不正确的是
   A. 仰卧位，头部放低5°～10°，左臂外展，手术者站在伤员左侧
   B. 用手术刀沿左胸乳头下一肋间（第4或第5肋间）切开胸腔，口从胸骨左缘开始，止于左腋中线
 ->C. 分层切开肋间肌和胸膜，经肋间隙进入胸腔，切除肋骨
   D. 并发症为心肌损伤、心脏穿孔、感染和出血
   E. 心脏复跳后，不要立即关闭胸腔，至少应观察半小时

532. 对轻症中暑者，应给予
   A. 静脉注射生理盐水
   B. 物理降温
   C. 药物降温
 ->D. 阴凉处休息
   E. 吸氧

533. 正常成年男性的血细胞在血液中所占的容积百分比是
   A. 20%～30%
   B. 30%～40%
 ->C. 40%～50%
   D. 60%～65%
   E. 65%～70%

534. 下述原因不会引起高排血量心力衰竭的是
   A. 甲亢
   B. 贫血
   C. 维生素B<sub>1</sub>缺乏
   D. 动静脉瘘
 ->E. 二尖瓣狭窄

535. 容易引起副溶血性弧菌食物中毒的食品是
   A. 肉制品，剩米饭
 ->B. 鱼虾蟹贝类等
   C. 禽蛋类
   D. 面包、面条等食品
   E. 臭豆腐、豆酱等

536. 下列哪种细菌为革兰阳性菌
   A. 脑膜炎奈瑟菌
   B. 淋病奈瑟菌
 ->C. 肺炎链球菌
   D. 大肠埃希菌
   E. 变形杆菌

537. 典型的低血容量休克的血流动力学指标的变化可能有
 ->A. BP↓，HR↑，CO↓，SVR↑，CVP↓
   B. BP↓，HR↑-↓，CO↓，SVR↑，CVP↑
   C. BP↓，HR↑，CO↑-↓，SVR↑-↓，CVP↑
   D. BP↓，HR↑，CO↓，SVR↓，CVP↑-↓
   E. BP↑，HR↑，CO↓，SVR↑，CVP↓

538. 用亚甲蓝（美蓝）作为厌氧培养指示剂在无氧情况下是
 ->A. 无色
   B. 黄色
   C. 棕色
   D. 蓝色
   E. 红色

539. 下列疾病中常并发急性左心衰竭的是
   A. 肺栓塞
 ->B. 急进型高血压
   C. 房间隔缺损
   D. 急性心包积液
   E. 肺动脉瓣狭窄

540. 毒鼠强中毒时主要表现
   A. 肺水肿
 ->B. 剧烈抽搐
   C. 出汗、流涎
   D. 昏迷

541. 弥漫性轴索损伤多见于下列哪种类型的颅脑损伤
   A. 加速性颅脑损伤
   B. 减速性颅脑损伤
   C. 挤压性颅脑损伤
   D. 开放性颅脑损伤
 ->E. 挥鞭样损伤（剪应力损伤）

542. 下列哪项与二氧化碳潴留无明显关系
   A. 搏动性头痛
   B. 白天嗜睡
 ->C. 贫血貌
   D. 心率加快
   E. 球结膜充血水肿

543. 下列哪项不是镇痛、镇静的治疗指征
   A. 疼痛
   B. 焦虑
   C. 躁动
   D. 谵妄
 ->E. 昏迷

544. 若呼吸停止时应采取的步骤是
 ->A. 将病人头后仰、托起下颌、捏鼻、口对口人工呼吸
   B. 头转向左侧，防止呕吐误吸
   C. 提起下颌，胸外心脏按压
   D. 转送医院
   E. 以上均不正确

545. 下列情况不导致呼吸功增加的是
   A. 胸肺顺应性下降
   B. 气道阻力增加
   C. 气道分泌物增多
 ->D. 气管切开
   E. 呼吸机回路积水

546. 危重伤员的搬运中错误的是
   A. 开放性血气胸者，包扎后取坐位或半坐位，坐椅式搬动为宜
   B. 腹部外伤取仰卧位，下肢屈曲，以减轻腹部压力，防止腹腔器官脱出，可用担架或木板搬运
   C. 昏迷伤员搬运时应取仰卧位，头侧向一边或侧卧位，防止呼吸道阻塞
 ->D. 休克伤员搬运时应取半卧位
   E. 四肢骨折，关节损伤应夹板固定好上、下两个关节后才可搬运，以免途中造成继发性损伤

547. 下面哪种情况是无创正压通气（NPPV）的适应证
 ->A. 血流动力学稳定、能配合的心源性肺水肿患者
   B. 昏迷的脑外伤患者
   C. 合并急性呼吸衰竭的肠梗阻患者
   D. 严重低氧血症的ARDS患者
   E. 以上都是

548. 高血压危象组织器官损伤的组织学标志是
 ->A. 小动脉的纤维素样坏死可见于易损器官
   B. 肾素-血管紧张素-醛固酮系统的激活
   C. 严重肾损害
   D. 外周血管阻力增高
   E. 小动脉的粥样坏死可见于易损器官

549. 药物的最大效应称为
   A. 效价强度
   B. 极量
   C. 耐量
 ->D. 效能
   E. 治疗指数

550. 收缩压发生于
   A. 快速充盈期末
   B. 等容收缩期末
   C. 等容舒张期末
 ->D. 快速射血期末
   E. 减慢射血期末

551. MODS时肺的形态结构变化不包括哪一项
   A. 肺水肿
   B. 肺泡内透明膜形成
 ->C. 肺纤维化
   D. 肺不张
   E. 胸腔积液
解析：ARDS的病理改变为弥漫性肺泡损伤，主要表现为肺广泛充血水肿和肺泡腔内透明膜形成。肺微血管充血、出血、微血栓形成，肺间质与肺泡腔内富含蛋白质的水肿液及炎细胞。约72 h后血浆蛋白、细胞碎片、纤维素及残余肺表面活性物质混合形成透明膜，伴大面积肺泡萎陷。由于肺毛细血管内皮细胞和肺泡上皮细胞损伤，肺泡膜通透性增加，引起肺间质和肺泡水肿；肺表面活性物质减少，导致小气道陷闭和肺泡不张，胸腔积液等。C. 肺纤维化，是肺疾病的慢性病理改变，故选C。

552. 中枢神经系统感染性疾病的诊断手段最有临床意义的是
   A. 脑电图
 ->B. 脑脊液检查
   C. 影像学检查
   D. 血液学检查
   E. 免疫学检查

553. 误吸的预防错误的是
   A. 半卧位
   B. 及时清理分泌物
   C. 最好行空肠营养
 ->D. 最好行胃内营养
   E. 加胃肠动力药

554. ED50是
 ->A. 引起50%动物有效的剂量
   B. 引起动物有效的药物剂量的50%
   C. 引起50%动物中毒的药物剂量
   D. 引起50%动物死亡的剂量
   E. 以上均不是

555. 确定乳房肿块性质最可靠的方法为
   A. 临床表现
   B. 溢液涂片
   C. 乳房X线检查
 ->D. 活组织切片病理学检查
   E. B超断层仪检查

556. 急性亚硝酸盐类中毒的特效解毒药是
 ->A. 小剂量亚甲蓝
   B. 纳洛酮
   C. 氟马西尼
   D. 乙酰胺
   E. 二巯丙磺酸

557. 使用甲泼尼龙治疗急性脊髓损伤，首剂剂量为
   A. 10 mg/kg
   B. 20 mg/kg
 ->C. 30 mg/kg
   D. 40 mg/kg
   E. 50 mg/kg

558. 不属于早期“生存链”的是
   A. 早期识别并启动急救系统
   B. 早期CPR
   C. 早期高级生命支持（ACLS）
   D. 早期除颤
 ->E. 早期低温治疗
解析：2010年国际CPR指南提出5环生存链：①立即识别CA并启动急救系统；②尽早CPR，并强调胸外按压；③快速除颤；④有效的ALS；⑤综合的PRT。

559. 在高温环境中进行繁重体力劳动和剧烈运动，大量出汗后周围循环衰竭、多脏器功能不全，被称为
   A. 先兆中暑
 ->B. 劳力型日射病
   C. 非劳力型日射病
   D. 热痉挛
   E. 热衰竭

560. 重症社区获得性肺炎常见病原微生物不包括
   A. 金黄色葡萄球菌
   B. 肺炎链球菌
   C. 肺炎衣原体
 ->D. 嗜麦芽窄食单胞菌
   E. 嗜肺军团菌

561. 细菌细胞壁的主要成分是
   A. 脂蛋白
   B. 磷壁酸
   C. RNA
   D. 脂多糖
 ->E. 肽聚糖

562. 达到下列哪项积气量占患侧胸腔总量百分值的自发性气胸患者不能保守治疗
   A. 15%以上
 ->B. 20%以上
   C. 25%以上
   D. 30%以上
   E. 40%以上

563. 下列哪项不是临床常见导致弛张热的病变
   A. 败血症
   B. 风湿热
   C. 重症肺结核
   D. 化脓性炎症
 ->E. 伤寒高热期

564. 对前列腺正确的描述是
   A. 为男性生殖腺
   B. 与膀胱底相邻
   C. 分为三叶
   D. 分泌雌性激素
 ->E. 有尿道穿过

565. 不能反映通气储备的肺功能指标有
   A. 最大通气量
   B. 肺活量
   C. 深吸气量
   D. 通气储备百分比
 ->E. 残气量

566. 不能用于检测ANA的物质是
   A. 小鼠肝细胞
   B. 外周白细胞
 ->C. 外周红细胞
   D. 大鼠肝细胞
   E. 猴肝细胞

567. 下列有关创伤后激素和细胞因子对代谢影响的描述，不正确的是
   A. 儿茶酚胺、皮质类固醇、胰高血糖素是创伤代谢紊乱的主要调节因素
   B. 糖皮质激素可促进骨骼肌蛋白质分解和肝内糖原异生，抑制蛋白质合成，抑制周围组织对葡萄糖的利用，使血糖水平升高
 ->C. 儿茶酚胺可抑制胰高血糖素的分泌，进而抑制脂肪动员肝糖原分解与糖异生
   D. 肾上腺素可抑制胰岛素合成与分泌，促进氨基酸和脂肪动员
   E. 创伤后多种细胞因子对创伤应激反应有重要影响

568. 下面哪种TCD表现可见于颅内高压
   A. 血流速度加快
   B. 涡流形成
   C. 血流杂音
 ->D. 重拨波
   E. 双相频谱

569. 分离人外周血淋巴细胞的分层液的比重是
   A. 1.066
   B. 1.08
 ->C. 1.077
   D. 1.09
   E. 1.099

570. 下列哪项不是永久性起搏器置入适应证
   A. 伴有临床症状的任何水平的完全或高度房室传导阻滞
   B. 临床症状明确，心室率常低于50次/分的病态窦房结综合征或房室传导阻滞
   C. 无临床症状，间歇性心室率低于40次/分，或长达3秒的R-R间歇的病态窦房结综合征或房室传导阻滞
 ->D. 急性心肌梗死合并完全性房室传导阻滞，心室率低于40次/分，或长达3秒的R-R间歇
   E. 临床症状明确，颈动脉窦过敏引起心率减慢，心室率低于40次/分，或长达3秒的R-R间歇

571. 关于急性呼吸衰竭的病因，下述哪项是错误的
   A. 脑外伤
   B. 化学中毒
   C. 大量胸腔积液
   D. 气胸
 ->E. 尘肺

572. CO中毒的症状与下列哪项无关
   A. 空气中CO的浓度
   B. 与CO接触时间长短
   C. 患者中毒前的健康状况
   D. 中毒时体力活动情况
 ->E. 以上都不是

573. ICU患者常见死亡原因为
 ->A. 肺部感染
   B. 心功能衰竭
   C. 肾衰竭
   D. 肝功能衰竭
   E. 脑功能衰竭

574. 以下哪项是低钾血症的典型心电图表现
   A. O-T间期延长
   B. Q-T间期缩短
   C. T波低平
   D. ST段降低
 ->E. U波出现

575. 支持导管相关性感染的实验学检查是
   A. 有一次半定量导管培养阳性（每导管节段≥15CFU）或定量导管培养阳性（每导管节段≥1000CFU），同时外周静脉血培养阳性，并与导管节段培养为同一微生物
   B. 从导管和外周静脉同时抽血做定量培养，两者菌落计数比≥5：1
   C. 从导管和外周静脉同时抽血做定量培养，中心静脉导管血培养阳性结果出现时间比外周血培养至少早2小时
   D. 外周血和导管出口部位脓液培养均阳性，并为同一株微生物
 ->E. 以上均是

576. 不属于眼的屈光物质是
   A. 角膜
   B. 房水
   C. 晶状体
   D. 玻璃体
 ->E. 睫状体

577. 呼吸骤停的原因是
   A. 创伤
   B. 会厌炎
   C. 心肌梗死
   D. 卒中
 ->E. 以上都是

578. 新药是指
   A. 具有新的临床用途的药品
 ->B. 未曾在我国国内生产的药品
   C. 未曾在中国境内上市销售的药品
   D. 新合成的化合物
   E. 从中药中提取的新化合物

579. 不属于唾液腺的是
   A. 腮腺
   B. 小唾液腺
 ->C. 胰
   D. 下颌下腺
   E. 舌下腺

580. 肾前性急性肾衰竭的病因是
   A. 汞中毒
   B. 急性肾小球肾炎
   C. 肾血栓形成
 ->D. 休克
   E. 输尿管结石

581. 严重心律失常可引起
   A. 感染性休克
 ->B. 心源性休克
   C. 低血容量性休克
   D. 过敏性休克
   E. 神经源性休克
解析：根据致病因素即可选择。

582. 乳腺癌最常见的部位是指乳房的
   A. 内上象限
 ->B. 外上象限
   C. 内下象限
   D. 外下象限
   E. 乳晕区

583. 急性心力衰竭合并室性心律失常，抗心律失常治疗首选药物是
 ->A. 胺碘酮
   B. 维拉帕米
   C. 美西律
   D. 利多卡因
   E. 美托洛尔

584. 脓肿已有波动后，主要是
   A. 继续用抗生素等待吸收
   B. 外敷消炎膏等自行穿破
   C. 穿刺抽脓后腔内注射抗生素
 ->D. 穿刺抽脓后作正规切开引流术
   E. 反复抽脓

585. 对丘脑特异投射系统的叙述中，错误的是
   A. 投射至皮质特定区域，有点对点的投射关系
   B. 其纤维主要终止于皮质第四层
   C. 引起特定感觉
   D. 激发大脑皮质发出传出神经冲动
 ->E. 切断特异传导通路的动物将出现昏睡

586. 发热大于38℃或低体温小于36℃，可伴有寒战，合并下列情况之一，可以临床诊断血源性感染，错误的是
   A. 有全身中毒症状而无明显感染病灶
 ->B. 必须血液培养分离出病原微生物
   C. 有入侵门户或迁徙病灶
   D. 收缩压低于90 mmHg，或较原收缩压下降超过40 mmHg
   E. 有皮疹或出血点、肝脾大、血液中性粒细胞增多伴核左移，且无其他原因可以解释

587. 以下有关骨髓穿刺适应证错误的是
   A. 白血病
   B. 原发性血小板减少性紫癜
 ->C. 血友病伴出血倾向
   D. 缺铁性贫血
   E. 再生障碍性贫血

588. 每分通气量和每分钟肺泡通气量之差等于
   A. 肺活量×呼吸频率
   B. 潮气量×呼吸频率
   C. 残气量×呼吸频率
 ->D. 无效腔气量×呼吸频率
   E. 功能残气量×呼吸频率

589. 主要组织相容性复合体是位于哺乳动物某一染色体上的一组
   A. 紧密连锁的单态性基因群
 ->B. 紧密连锁的多态性基因群
   C. 不连锁的多态性基因群
   D. 不连锁的单态性基因群
   E. 以上均不对

590. 健康成年人（以体重约60为例）一次性失血超过多少应及时输血
   A. 500 ml
   B. 800 ml
   C. 1000 ml
 ->D. 1500 ml
   E. 2000 ml

591. 下列哪项不是胃肠动力监测适应证
   A. 胃肠引流液量过多
   B. 肠鸣音消失
 ->C. 急性腹泻
   D. 腹腔压力增高
   E. 无排便、排气

592. 以下哪项不是心脏收缩功能的主要决定因素
 ->A. E/A
   B. 前负荷
   C. 后负荷
   D. 心肌收缩力
   E. 心率

593. 急性缺血性脑卒中患者，血压为200/90 mmHg，哪项处置最合理
   A. 立即给予舌下含硝苯地平1颗
   B. 马上给予静推拉贝洛尔
   C. 马上给予肌注酚妥拉明10 mg
 ->D. 除非患者已有明显征候，否则应于5 min后再测血压
   E. 立即静滴硝普钠

594. 下列引起肾前性急性肾衰竭的病因是
   A. 急性肾炎
   B. 肾血栓形成
 ->C. 休克
   D. 汞中毒
   E. 尿路梗阻

595. 下列哪种药物是通过抑制细菌蛋白质合成而发挥作用的
   A. 亚胺培南-西司他汀
 ->B. 氯霉素
   C. 磷霉素
   D. 头孢哌酮
   E. 环丙沙星

596. 器官功能障碍逻辑性评价系统中未反映的器官是
   A. 心血管
   B. 呼吸
   C. 中枢
   D. 肾
 ->E. 胃肠

597. 插入肺动脉漂浮导管时最容易出现危险的是导管
   A. 到达上腔静脉和右心房交界处时
   B. 到达右心房时
   C. 到达右心房和右心室交界处时
 ->D. 到达右心室时
   E. 到达肺动脉时

598. 乳腺癌发病年龄双峰曲线是
   A. 30～40岁，45～49岁
   B. 40～45岁，50～60岁
 ->C. 45～49岁，60～64岁
   D. 50～60岁，65～70岁
   E. 60～64岁，65～70岁

599. 下列哪个过程属于细胞凋亡的现象
   A. 开水引起的皮肤烫伤
 ->B. 人胚胎发育过程中指（趾）间隙的形成
   C. 毒物中毒引起的细胞死亡
   D. 强酸强碱引起的损伤
   E. 急性缺血时细胞的死亡

600. 下列说法不正确的是
   A. PaO<sub>2</sub>反映机体的氧合状态
   B. 血氧分压与组织供氧有直接关系
   C. 氧向组织中释放直接取决于PaO<sub>2</sub>的高低
 ->D. 氧向组织中释放直接取决于SaO<sub>2</sub>的高低
   E. 当PaO<sub>2</sub><20 mmHg时，组织即无法从血液中获取氧

601. 以下哪项是误吸一定要采用的治疗
   A. 禁食
   B. 平卧位
   C. 使用胃动力药
   D. 使用抗生素
 ->E. 加强气道管理

602. 以下哪项是急性有机锡化合物中毒常见的临床表现
   A. 脑水肿及颅内压增高
   B. 边缘系统功能障碍
   C. 经口中毒者肝、肾损害较明显
   D. 小脑功能障碍
 ->E. 以上都是

603. 多发伤早期ABCDE处理中D是指
   A. 药物治疗
   B. 除颤
 ->C. 检查意识、感觉和运动障碍
   D. 诊断
   E. 暴露患者衣物有利后期检查和处理

604. 喹诺酮类药物的抗菌谱不包括
   A. 大肠埃希菌和铜绿假单胞菌
 ->B. 克次体和螺旋体
   C. 结核杆菌和厌氧杆菌
   D. 支原体和衣原体
   E. 金黄色葡萄球菌和产酶金葡菌

605. 在细菌间直接传递DNA是通过
   A. 鞭毛
   B. 普通菌毛
   C. 质粒
 ->D. 性菌毛
   E. 内质网

606. 关于清除进入人体尚未吸收的毒物，下列不正确的是
   A. 患者处于昏迷、惊厥状态，吞服石油蒸馏物、腐蚀剂不应催吐
   B. 食管静脉曲张患者不宜洗胃
   C. 洗胃液每次注入不宜超过300 ml，以免促使毒物进入肠内
 ->D. 导泻时，常使用油类泻药，以利于各种毒物排出
   E. 毒物溅入眼内，应立即用清水彻底冲洗

607. 监测流速-时间曲线的临床意义不包括
   A. 监测呼吸回路有无漏气
   B. 监测有无PEEPi
   C. 监测呼吸回路内有无分泌物或积水
 ->D. 监测有无自主触发
   E. 反映支气管扩张剂的疗效

608. 治疗二、三度房室传导阻滞宜选用
   A. 肾上腺素
   B. 去甲肾上腺素
 ->C. 异丙肾上腺素
   D. 多巴胺
   E. 多巴酚丁胺

609. 体内启动外源性凝血途径的物质是
 ->A. 因子Ⅲ
   B. 因子Ⅱ
   C. 血小板因子3
   D. Ca<sup>2+</sup>
   E. 凝血酶原

610. 肺内炎性实变，哪一种CT表现提示有可能是肺癌引起的
   A. 炎性实变呈圆形或结节状
   B. 有支气管气相
   C. 静脉注射有增强
   D. 静脉注射不增强
 ->E. 支气管狭窄或闭塞

611. 关于等张性缺氧的描述，下列哪一项是错误的
 ->A. 血氧含量正常
   B. 血氧容量降低
   C. 动脉血氧分压可正常
   D. A-V血氧含量差低于正常
   E. 动脉血氧饱和度正常

612. 心率超过180/min时，心排血量减少的主要原因是
   A. 快速射血期缩短
   B. 减慢射血期缩短
   C. 等容收缩期缩短
   D. 等容舒张期缩短
 ->E. 心室充盈时间缩短

613. 有“拟线立体”之称的结构是
   A. 胞浆
   B. 细胞膜
 ->C. 中介体
   D. 质粒
   E. 细胞壁

614. 补体经典激活途径中，补体成分激活顺序是
   A. C123456789
   B. C132456789
   C. C124536789
 ->D. C142356789
   E. C145236789

615. 表面活性物质减少时
   A. 肺泡表面张力不变而肺顺应性增加
   B. 肺泡表面张力降低而肺顺应性不变
 ->C. 肺泡表面张力增加而肺顺应性降低
   D. 肺泡表面张力降低而肺顺应性增加
   E. 肺泡表面张力不变，肺顺应性不变

616. 腰骶部脊髓或盆神经损伤时表现为
   A. 尿失禁
 ->B. 尿潴留
   C. 多尿
   D. 少尿
   E. 无尿

617. 医患沟通范围包括
   A. 患者目前病情和疾病的后果
   B. 患者目前的治疗措施、可能的危险性和费用
   C. 医院的有关规章制度
   D. A+B
 ->E. A+B+C

618. 急性脑功能障碍常见的病因是
 ->A. 脑血管病
   B. 颅内肿瘤
   C. 代谢异常
   D. 电解质紊乱
   E. 癫痫

619. 不伴意识丧失的癫痫发作属
   A. 失神发作
   B. 阵挛性发作
 ->C. 肌阵挛发作
   D. 强直性发作
   E. 强直阵挛性发作

620. 以下是重症哮喘采用有创机械通气的指征，但除外的是
 ->A. 出现低氧血症
   B. 出现Ⅱ型呼吸衰竭
   C. 严重呼吸困难、点头呼吸
   D. 出现意识模糊
   E. 无创机械通气无效

621. 心肺复苏时首选给药途径是
   A. 骨髓腔
   B. 气管内
   C. 肌肉
 ->D. 静脉
   E. 皮下

622. 在应用碘解磷定时的注意事项中哪一项是错误的
   A. 对毒蕈碱样作用和防止呼吸中枢的作用较差
   B. 在碱性溶液中易水解为氰化物，故忌与碱性药物配伍
   C. 用量过大，注射过快或未经稀释直接注射均可引起中毒
 ->D. 对有机磷农药急性中毒、慢性中毒均有效
   E. 与阿托品合用可取得协同效果

623. 重度AOPP，其全血ChE活力值为
