1. 肾细胞癌的典型声像图特征是
   B. 有蒂
 ->C. 无蒂
 ->D. 形状不规则
   E. 活动度大

101. 下列哪些是多囊卵巢综合征的特点
 ->A. 月经稀少，不孕
   B. 子宫增大
 ->C. 多毛、肥胖
 ->D. 卵巢可见>10个无回声区，直径<1.0 cm
   E. 有痛经

102. 良性淋巴结的声像图特点是
 ->A. 淋巴结均匀性肿大，长（L）/宽（S）>2
 ->B. 呈椭圆形，被膜回声强而光整
   C. 被膜回声不完整
 ->D. 血流丰富，分布规律呈高速低阻，RI<0.5
   E. 血流丰富，分布不规则呈高速高阻，RI>0.7

103. 患者出现脑栓塞症状，超声心动图发现左房内血栓形成，左房血栓的超声特点包括
 ->A. 基底部宽
   B. 有蒂
 ->C. 无蒂
 ->D. 形状不规则
   E. 活动度大

104. 患者女，25岁，孕25周，临床诊断：胎盘早剥，其超声表现特征，正确的是
 ->A. 胎盘周围可见低回声区
 ->B. 胎盘与子宫壁间见不均质回声
   C. 胎盘切面见丰富血池结构
 ->D. 胎盘明显增厚声像
 ->E. 胎盘位于后壁时诊断较困难

105. 子宫内膜癌声像图特点是
   A. 一般只侵犯子宫、附件，不转移至盆腔以外的器官
 ->B. 子宫内膜不规则增厚
 ->C. 绝经前后不规则阴道出血
   D. 病灶内部或周边可见血流信号，RI>0.5
   E. 病灶内部或周边,舒张期血流丰富，呈低阻力型

106. 子宫直肠陷窝积液的原因有
 ->A. 黄体囊肿破裂
 ->B. 排卵后
 ->C. 异位妊娠破裂
 ->D. 卵巢肿瘤
   E. 子宫肌瘤

107. 胰腺原发性腺癌声像图是
 ->A. 常见胰腺头部肿块
 ->B. 伴有胆囊扩大
 ->C. 腺体增大伴有不规则结节状边缘
 ->D. 胆总管扩张
 ->E. 肝内胆管扩张

108. 下列是“卵黄囊征”的选项有
   A. 原始卵黄囊大于羊膜囊
 ->B. 胎囊≥2.5 cm，而未见卵黄囊
 ->C. 卵黄囊＞4 mm或自由漂浮
 ->D. 复查时卵黄囊未见长大
 ->E. 复查时卵黄囊可消失

109. 下列肿瘤中以淋巴转移为最早转移途径的包括
 ->A. 精原细胞瘤
 ->B. 胚胎癌
 ->C. 恶性畸胎瘤
   D. 绒毛膜上皮癌
   E. 成熟型畸胎瘤

110. 超声检查多能作出正确诊断的疾病有
 ->A. 肾结石
 ->B. 肾囊肿
 ->C. 肾实质肿瘤
 ->D. 肾外伤
   E. 膀胱炎
解析：最常见的疾病超声诊断。

111. 胆道闭锁是新生儿常见的严重疾病之一，下列超声声像图描述哪些是正确的
 ->A. 肝脏形态正常
   B. 肝实质可见多数小的低回声区
 ->C. 肝回声可能均匀增强
 ->D. 胆囊小，充盈不良或不显示
 ->E. 肝外胆管不显示

112. 患者，女，40岁，临床诊断结节性甲状腺肿，其超声表现正确的是
   A. 甲状腺血流呈“火海”状
   B. 甲状腺结构正常
 ->C. 甲状腺囊实性结节
 ->D. 甲状腺多个结节
 ->E. 甲状腺结节有钙化点

113. 使超声波出现衰减的原因有
 ->A. 声束发散
 ->B. 折射
 ->C. 反射
 ->D. 吸收
 ->E. 多普勒效应

114. 发生睾丸肿瘤后，应特别注意扫查
   A. 附睾
 ->B. 腹膜后
   C. 肾脏
 ->D. 肾门
   E. 脾脏

115. 肝脓肿与肝囊肿的区别是
 ->A. 脓肿透声差，而囊肿透声好
 ->B. 脓肿边界不规则，囊肿边界清晰
   C. 脓肿是坏死性肿瘤，囊肿是良性肿物
 ->D. 囊肿为无回声，脓肿为减弱或混合回声
   E. 以上均是

116. 患者，男，32岁，临床诊断附睾炎，其超声表现正确的是
 ->A. 化脓时可呈无回声
 ->B. 附睾头肿大
 ->C. 附睾尾肿大
 ->D. 附睾强回声伴声影
 ->E. 多发生于附睾尾部，病变常不规则，内部回声不均匀

117. 下列描述中，属于脂膜炎特点的有
 ->A. 是发生在乳房皮下脂肪层的炎症
 ->B. 超声表现为不规则的中强回声区
   C. 超声表现为不规则的低回声区
 ->D. 如脂肪液化，可呈无回声区
 ->E. 可形成囊肿

118. 子宫内膜异位症声像图特征有
 ->A. 子宫增大，形态饱满
 ->B. 子宫肌壁回声粗糙不均匀，与宫壁无明显界限
 ->C. 子宫内膜线移位
 ->D. 易于子宫肌瘤相混淆
 ->E. 有附件囊肿

119. 下列符合双胎双顶径测量特点的有
 ->A. 双胎之间双顶径差应在4 mm之内
   B. 双胎之间双顶径的差应在1～2 mm之间
   C. 双胎之间双顶径差应在2 mm之内
 ->D. 双胎中甲胎比乙胎双顶径小6 mm，应认为甲胎宫内发育迟缓
 ->E. 双胎双顶径稍小于单胎双顶径

120. 卵巢浆液性囊腺瘤的特点是
 ->A. 伴有腹水
 ->B. 分隔及壁上见菜花状乳头
 ->C. 菜花状乳头穿破囊壁向外生长
   D. 囊壁或隔膜或乳头上可见动脉血流，且RI<0.5
 ->E. 可见砂样小体

121. 子宫体癌的病理学改变及诊断，正确的是
   A. 声像图能显示内膜增厚，故早期即能确诊
 ->B. 子宫内膜为弥漫性增厚或团块状
 ->C. 始发于更年期与绝经期的妇女
 ->D. 又称子宫内膜瘤，发生在子宫内膜
 ->E. 主要临床表现为阴道出血

122. 下列哪项是肝癌治疗后，观察有否复发的有效筛选手段
 ->A. CT
 ->B. B超
 ->C. CDFI
 ->D. MRI
   E. 核素检查

123. 以下哪些是急性肩袖撕裂的声像图表现
 ->A. 肌腱断端向中心端回缩，肌腱回声中断或不显示
 ->B. 三角肌下滑囊与肱骨头间距变小，断端间可有低或无回声区
 ->C. 肌腱回声不均匀，变薄，不连续
   D. 肌腱回声增强，边缘不清，断端有低或强回声伴声影
 ->E. 有血肿形成时，局部呈现低回声

124. 中期妊娠羊膜穿刺适应征是
 ->A. 有畸胎史者
 ->B. 高龄孕妇
 ->C. 不明原因流产、早产史者
 ->D. 夫妇中有染色体异常疾病及家族史
 ->E. 本次妊娠有异常者

125. 下列哪些是淋巴结结核的超声表现
 ->A. 多数淋巴结皮质不均匀增宽
   B. 淋巴结体积增大，L/S大于2
 ->C. 髓质强回声消失或变形、移位。L/S小于2
   D. 髓质回声明显增宽，皮质均匀增厚
   E. 血流丰富，血流信号可充满整个淋巴结，呈不规则树枝状

126. 患者，女60岁，临床诊断Buerger病，其表现是
 ->A. 是发生在四肢膝、肘关节远端，中小型动脉节段性的全层炎症性疾病
   B. 其伴行动脉也常伴有炎症和血栓形成
 ->C. 其超声表现，在二维图像上显示病变动脉内膜增厚、毛糙
 ->D. 病变部位与正常部分界限分明
 ->E. 彩色及脉冲多普勒显示节段性动脉狭窄、闭塞及伴行静脉炎症、血栓同时存在的血流色彩和频谱的相关改变

127. 肾肿瘤CDFI特点
   A. 无血流型
 ->B. 丰富血流型
 ->C. 星点状血流型
 ->D. 少血流型
 ->E. 抱球形

128. 下列描述中，属于乳头状瘤特征的有
 ->A. 无痛性血性溢液，为鲜红色或棕褐色
 ->B. 部分病人在乳晕下可扪及肿块，质软，可活动，直径<1 cm
 ->C. 超声显示乳晕下导管内可见中强回声团，呈砂粒样改变，近端导管扩张
 ->D. 乳腺导管造影，可证实圆形充盈缺损区
 ->E. 溢液细胞学检查，可找到瘤细胞

129. 超声判断中、重度颈动脉狭窄采用的方法
 ->A. 二维超声观察血管内中膜厚度
 ->B. 观察狭窄面积百分比
 ->C. 脉冲多普勒频谱半定量检测
 ->D. M型超声观察血管内径
 ->E. 彩色多普勒血流观察血流颜色呈花色

130. 下列哪些疾病可以出现胆囊壁增厚
 ->A. 低蛋白血症
 ->B. 胆囊炎（急或慢性）
 ->C. 腺肌症
 ->D. 胆囊癌
 ->E. 胆囊萎缩

131. 良性实性肿物的声像图特点是
 ->A. 低回声区
   B. 无回声区
 ->C. 壁光滑，界限清楚
   D. 肿物壁不规则，界限不清
 ->E. 内部回声随增益增加而增强

132. 下列对肺循环的叙述哪些是正确的
 ->A. 肺静脉血流入左心房
 ->B. 右心室血排入肺动脉
   C. 肺动脉血流入右心房
 ->D. 肺动脉血经肺进入肺静脉
 ->E. 右心房的血来自腔静脉

133. 胚胎的双囊可能是
 ->A. 双胎妊娠
 ->B. 流产受阻
 ->C. 枯萎卵
 ->D. 两层蜕膜之间的无回声区
 ->E. 植入性出血

134. 脾肿大的常见原因有
 ->A. 传染性疾病
 ->B. 门脉高压
 ->C. 血液病
 ->D. 某些代谢性疾病
 ->E. 先天性发育异常

135. 下列哪些是先天性髋关节完全脱位的声像图特点
 ->A. 股骨头从髋臼内全部脱出
 ->B. 股骨头向后上方软组织内移位
   C. 股骨头与髋臼间出现较宽间隙
   D. 髋臼窝变形
   E. 以上各项都是

136. 多发性大动脉炎按其受累血管部位分型包括
 ->A. 头臂型
 ->B. 胸腹主动脉型
 ->C. 肾动脉型
   D. 肺动脉型
 ->E. 混合型

137. 下列哪些疾病称为乳腺结构不良
 ->A. 乳痛症
 ->B. 乳腺腺病
 ->C. 乳腺增生病
 ->D. 乳腺慢性囊性增生病
   E. 乳腺炎

138. 下列描述中，属于后天性乳腺畸形的有
   A. 最常见多乳头及多乳腺
 ->B. 包括乳房肥大或巨乳症
   C. 是乳房始基未退化或退化不全所致
 ->D. 与内分泌紊乱、雌激素分泌过多有关
 ->E. 超声显示为巨大乳腺结构而无肿物

139. 乳腺恶性肿瘤的声像图特征有
 ->A. 肿块边界轮廓不整，粗糙，无包膜
 ->B. 肿块多呈不均质低回声，有皮肤及周围组织浸润
 ->C. 肿物纵径/横径＞1
 ->D. 肿块内血流丰富，呈高速高阻血流
   E. 肿块内血流丰富，呈低速低阻血流

140. 四肢血管彩色多普勒表现为
 ->A. 单一层流、血流充盈良好，边缘整齐
 ->B. 血流信号呈红-蓝-红快速转变
   C. 血流信号呈红-黄-蓝-红转变
 ->D. 较大的动脉分叉处有紊乱血流信号
   E. 五彩镶嵌花色血流

141. 灰阶断面图像的伪影（伪差）有
 ->A. 混响
 ->B. 部分容积效应
 ->C. 旁瓣效应
 ->D. 折射声影
 ->E. 声速差异伪像
解析：常见伪像有混响、部分容积效应、折射声影、速差异伪像。

142. 子宫内膜癌声像图特点是
   A. 一般只侵犯子宫、附件，不转移至盆腔以外的器官
 ->B. 子宫内膜不规则增厚
 ->C. 绝经前后不规则阴道出血
   D. 病灶内部或周边可见血流信号，RI＞0.5
   E. 病灶内部或周边，舒张期血流丰富，呈低阻力型

143. 子宫肌瘤的声像图特点是
 ->A. 子宫增大，局限性隆起
 ->B. 子宫表面不平
 ->C. 子宫内膜线移位
 ->D. 膀胱产生压迹及变形
   E. 子宫均匀性增大

144. 患者，男，80岁，右侧股静脉完全栓塞的表现，正确的是
 ->A. 股静脉内未见血流信号
 ->B. 探头加压后股静脉管腔不可压闭
 ->C. 股静脉内可见低回声改变
 ->D. 栓塞远端血管内流速减慢
 ->E. 栓塞处血管内径增粗

145. 下列哪些是精索静脉曲张的表现
 ->A. 精索静脉迂曲扩张
 ->B. 精索静脉内径增宽，大于2.5毫米
 ->C. 屏气或站立位时精索静脉内径增粗明显
 ->D. 屏气时静脉内可出现反流
   E. 多发生与右侧

146. 胎儿水肿的原因是
 ->A. 先天性心脏病
 ->B. Rh因子不合
 ->C. 糖尿病
 ->D. ABO溶血
   E. 以上都不是

147. 颈动脉硬化闭塞的二维超声表现是
 ->A. 颈动脉管壁内膜面回声增强增厚，表面粗糙，连续性差，内膜有中断现象
 ->B. 管腔内有粥样硬化斑块形成，分低回声软斑和强回声硬斑两种
 ->C. 斑块内出血时呈不规则低回声
 ->D. 溃疡形成时斑块表面呈类似火山口样壁龛影
 ->E. 血栓形成，急性呈低回声，陈旧性回声增强

148. 理想的心脏声学造影剂应为
 ->A. 无内在化学活性，不干扰冠状动脉血流
 ->B. 所含微泡与红细胞的大小、分布及流动速度一致
 ->C. 微气泡穿过毛吸血管壁时不影响壁的正常生理功能
 ->D. 可静脉注射并持续显影直至进入心肌组织
 ->E. 对各脏器无毒副作用

149. 测量胎儿腹围的标准平面是
 ->A. 胎儿脐部水平
   B. 胎儿季肋部水平
 ->C. 与脊柱垂直
 ->D. 可显示胎儿脊柱、胃泡、肝脏、脐静脉
   E. 测量最大前后径、最大横径、不包括胎儿的皮肤

150. 肾细胞癌的典型声像图特征是
 ->A. 肾内圆形、椭圆形占位性病灶，常向肾表面隆起，可伴有肾窦受压表现
 ->B. 肾癌小：边界尚清；肾癌大：边界欠清，形态不规则，周边有低回声晕-假包膜声像
 ->C. 内部回声呈多样性；瘤体小，较强回声。瘤体较大，中低回声。内部坏死、液化，出血出现混合性回声
 ->D. 肾静脉、下腔静脉、肝、对侧肾及腹膜后淋巴结转移征象
   E. 肾内肿瘤生长很大，形态不规则，边缘整齐的实性肿块

151. 下列哪些是精索静脉曲张的表现
 ->A. 精索静脉迂曲扩张
 ->B. 精索静脉内径增宽，大于2.5毫米
 ->C. 屏气或站立位时精索静脉内径增粗明显
 ->D. 屏气时静脉内可出现反流
   E. 多发生与右侧

152. 下列关于肾上腺髓样脂肪瘤描述正确的有
 ->A. 可有两种声像图表现
 ->B. 患侧肾上腺大于健侧
   C. 与临近肾周围脂肪组织间无明显包膜
 ->D. 可随呼吸活动而变形
 ->E. 呈三角形、新月形或不规则型

153. 下列描述中，属于先天性乳腺畸形的有
 ->A. 最常见多乳头及多乳腺
 ->B. 最常见副乳
 ->C. 是乳房始基未退化或退化不全所致
   D. 与内分泌紊乱、雌激素分泌过多有关
 ->E. 以腋窝前常见

154. 胎盘早剥是指妊娠20周后或分娩期正常位置胎盘在胎儿娩出前部分或全部从子宫壁剥离，其病理变化是
 ->A. 底蜕膜血管破裂出血
 ->B. 底蜕膜层血肿形成
   C. 胎盘绒毛膜出血
   D. 胎盘附着部子宫收缩
   E. 以上都是

155. 宫内早孕声像图特点可包括
 ->A. 子宫增大
 ->B. 宫腔内可见妊娠囊
 ->C. 妊娠囊内可见胚芽
 ->D. 妊娠囊内可见胎心搏动
 ->E. 妊娠囊内见卵黄囊

156. 右心声学造影相对禁忌证包括
 ->A. 冠心病、心绞痛或心肌梗死
 ->B. 严重心功能不全
 ->C. 明显紫绀
 ->D. 严重贫血
 ->E. 有血管栓塞病史或高凝状态

157. 下列对法乐氏四联症的超声检查所见的叙述，哪些是正确的
 ->A. 主动脉骑跨
 ->B. 右室壁增厚
 ->C. 肺动脉口狭窄
   D. 房间隔缺损
 ->E. 室间隔缺损

158. 患者，男，45岁，临床诊断颈动脉海绵窦瘘，符合其诊断的是
   A. 眼下静脉扩张、压力增高，呈现动脉化改变
 ->B. 是由于动-静脉交通引起的海绵窦血管畸形
 ->C. 按解剖结构可分为颈内动脉海绵窦瘘和硬脑膜动脉海绵窦瘘
 ->D. 按血流速度可分为高流速海绵窦瘘和低流速海绵窦瘘
   E. 颈内动脉海绵窦瘘多为低流瘘

159. 胚胎的双囊可能是
 ->A. 双胎妊娠
 ->B. 流产受阻
 ->C. 枯萎卵
 ->D. 两层蜕膜之间的无回声区
 ->E. 植入性出血

160. 十二指肠的解剖分段正确的是
 ->A. 壶腹部
 ->B. 降部
 ->C. 水平部
   D. 胰腺部
 ->E. 升部

161. 引起脂肪肝的常见原因
 ->A. 营养性原因:肥胖或营养缺乏
 ->B. 代谢性原因:糖尿病、肝糖原积累、高脂血症
 ->C. 药物原因:乙醇、皮质类固醇及细胞毒药物
 ->D. 特发性；原因不明
   E. 乙肝病史

162. CDFI检测输尿管膀胱开口处结石的特点
 ->A. 输尿管膀胱开口喷尿频率减少
 ->B. 输尿管膀胱开口喷尿尿流变短
 ->C. 输尿管膀胱开口喷尿消失
   D. 输尿管膀胱开口喷尿频率增多
   E. 输尿管膀胱开口喷尿尿流变粗

163. 乳腺良性肿物二维及CDFI特点
 ->A. 肿物纵径/横径<1
   B. 肿物纵径/横径>1
 ->C. 血管数目少
   D. 血管数目增多，<0.7
   E. 血管数目增多，RI>0.7

164. 肝脓肿与肝囊肿的区别是
 ->A. 脓肿透声差，而囊肿透声好
 ->B. 脓肿边界不规则，囊肿边界清晰
   C. 脓肿是坏死性肿瘤，囊肿是良性肿物
 ->D. 囊肿为无回声，脓肿为减弱或混合回声
   E. 以上均是

165. 患者，女40岁，临床诊断子宫腺肌症，其声像图的叙述，正确的是
 ->A. 子宫腺肌症为子宫内膜在子宫肌层内生长
 ->B. 子宫前后壁不对称性增大
   C. 子宫内膜组织若侵入局部，使周围肌肉组织高度增生可形成子宫肌瘤
 ->D. 彩超可探及点、条状血流
 ->E. 可合并子宫肌瘤

166. 患者，女性60岁，绝经10年，阴道不规则流血1月，超声诊断绒毛膜癌，其超声声像图表现
 ->A. 子宫增大，其外形可不规则
 ->B. 子宫内回声增多，子宫肌层内有局部低回声区，呈蜂窝状
   C. 多能发现一侧或双侧黄体囊肿
 ->D. 彩色多普勒超声检查病灶处可见丰富血流，频谱呈低阻波形
 ->E. 早期就可以发生远处转移，最常见转移部位是肺

167. 正确鞘膜积液的临床类型是
 ->A. 睾丸鞘膜积液
 ->B. 精索睾丸鞘膜积液
   C. 睾丸炎性鞘膜积液
 ->D. 精索鞘膜积液
 ->E. 交通性鞘膜积液

168. 超声判断中、重度颈动脉狭窄采用的方法
 ->A. 二维超声观察血管内中膜厚度
 ->B. 观察狭窄面积百分比
 ->C. 脉冲多普勒频谱半定量检测
 ->D. M型超声观察血管内径
 ->E. 彩色多普勒血流观察血流颜色呈花色

169. 心肌舒张功能包括哪些指标
 ->A. 二尖瓣口血流E峰幅度
 ->B. 等容舒张期时间
   C. 等容收缩期时间
 ->D. 二尖瓣口血流A峰的速度时间积分
 ->E. 二尖瓣口血流A峰幅度

170. 淤血肝的声像图特点
 ->A. 肝普遍增大，包膜光滑
 ->B. 肝实质回声无明显改变
 ->C. 肝静脉断面增宽
 ->D. 下腔静脉增宽，生理性搏动减弱或消失
 ->E. 有时可有腹水

171. 胎盘早剥应与下列哪项相鉴别
 ->A. 胎盘后静脉丛
 ->B. 子宫壁局部收缩
 ->C. 胎盘后子宫肌瘤
 ->D. 胎盘内大血窦
   E. 前置胎盘

172. 患者，女，32岁，临床诊断急性骨髓炎，其超声表现是
   A. 早期容易探查到的征象是骨膜下脓肿形成的带状无回声区，骨膜被掀起呈拱形抬高，无增厚改变
 ->B. 骨质中出现边缘不清楚、外形不规则的低回声区，内部夹杂斑点样强回声
 ->C. 软组织肿胀，有脓肿形成则显示为无回声区
 ->D. 窦道形成时，局部软组织纹理中断
   E. 病变部位正常骨纹理清晰可见，骨皮质完整

173. 绒毛膜癌可继发于
 ->A. 葡萄胎后
 ->B. 足月生产后
 ->C. 宫外孕
 ->D. 流产后
   E. 未婚女子的卵巢内

174. 二维超声检测左心室用以判断有无冠心病的主要依据是什么
   A. 左心室形状改变
   B. 左心室壁厚径增加
 ->C. 节段性室壁运动异常
 ->D. 左心室壁收缩期增厚率减低
   E. 左心室壁收缩运动幅度增大

175. 以下哪些是成骨肉瘤的超声特征
 ->A. 正常骨组织回声消失，肿瘤处骨皮质粗糙，回声连续中断，骨膜被掀起并增厚，与骨皮质分离
 ->B. 瘤体内回声极不均匀，增强－低－无回声，骨皮质表面有小的针状瘤骨呈放射状排列
   C. 骨瘤处圆形隆起与骨组织带状回声有连续性，后伴声影
 ->D. CDFI:瘤骨边缘及内部可探及较粗大的异常回声
 ->E. 肿瘤的后部回声衰减较强，肿瘤的底面回声不易显示

176. 主动脉夹层动脉瘤DeBakey分型有
   A. DeBakey Ⅰ型：夹层血肿可局限于主动脉瓣上升主动脉段
 ->B. DeBakey Ⅰ型：夹层血肿起源于升主动脉、波及主动脉弓及降主动脉
 ->C. DeBakey Ⅲ型：夹层血肿起源于左锁骨下动脉起始处，延伸至降主动脉
 ->D. DeBakey Ⅱ型：夹层血肿可局限于主动脉瓣上升主动脉段
   E. DeBakey Ⅱ型：夹层血肿起源于升主动脉、波及主动脉弓及降主动脉

177. 乳腺纤维腺瘤的超声特点包括
 ->A. 边界光滑、完整，有一层光滑的包膜
 ->B. 内部呈减弱回声
 ->C. 肿瘤呈圆形、椭圆形；也有呈分叶形或不规则形
 ->D. CDFI：多数为无血流或少血流型
 ->E. 少数有钙化

178. 排卵延迟的早孕，胚胎尚未出现，发生先兆流产，应注意与下面哪项鉴别
 ->A. 不全流产
 ->B. 难免流产
   C. 枯萎孕囊
   D. 宫外孕
   E. 卵巢肿瘤

179. 患者，女33岁，妊娠33周，胎儿宫内生长迟缓，主要观察指标
 ->A. 胎儿头围、腹围
 ->B. 胎儿双顶径（BPD）
 ->C. 胎儿头围与腹围比例
 ->D. 胎儿股骨长
   E. 胎儿肱骨长

180. 患者，男，29岁，临床诊断脉络膜黑色素瘤，其超声表现正确的是
 ->A. 视力减退和视野缺损
 ->B. 是成年人最常见的眼内恶性肿瘤
 ->C. 在葡萄膜肿瘤中占61.5%
 ->D. 居眼内恶性肿瘤的第3位
   E. 白瞳孔是最常见的体征

181. 下列哪些疾病称为乳腺结构不良
 ->A. 乳痛症
 ->B. 乳腺腺病
 ->C. 乳腺增生病
 ->D. 乳腺慢性囊性增生病
   E. 乳腺炎

182. 下列哪些是恶性淋巴瘤的超声表现
 ->A. 髓质结构紊乱甚至消失或变形移位
 ->B. L/S小于2
   C. 髓质回声明显增宽，皮质均匀增厚
 ->D. 血流充满淋巴结，失去正常血管分布与走向的规律，呈不规则树枝状
   E. 门部居中

183. 超声可以用以诊断哪些骨骼、关节、肌肉疾病
   A. 正常骨的完整声像图
 ->B. 子宫内胎儿、新生儿及1岁以内婴儿的骨骼
 ->C. 骨膜下血肿
 ->D. 关节间隙病变
 ->E. 实时评价肌腱和肌肉运动

184. 患者男性，29岁，临床诊断为大量心包积液，治疗后一年，出现缩窄性心包炎症状，其超声心动图表现包括
   A. 心包内大片液性暗区
 ->B. 心包脏、壁层增厚
 ->C. 心包内少许液性暗区
 ->D. 心包脏、壁层粘连、钙化
 ->E. 室间隔运动呈“橡皮筋”样抖动

185. 肾细胞癌的典型声像图特征是
 ->A. 肾内圆形、椭圆形占位性病灶，常向肾表面隆起，可伴有肾窦受压表现
 ->B. 肾癌小：边界尚清；肾癌大：边界欠清，形态不规则，周边有低回声晕-假包膜声像
 ->C. 内部回声呈多样性；瘤体小，较强回声。瘤体较大，中低回声。内部坏死、液化，出血出现混合性回声
 ->D. 肾静脉、下腔静脉、肝、对侧肾及腹膜后淋巴结转移征象
   E. 肾内肿瘤生长很大，形态不规则，边缘整齐的实性肿块

186. 患者女，25岁，孕25周，临床诊断：胎盘早剥，其超声表现持征，正确的是
 ->A. 胎盘周围可见低回声区
 ->B. 胎盘与子宫壁间见不均质回声
   C. 胎盘切面见丰富血池结构
 ->D. 胎盘明显增厚声像
 ->E. 胎盘位于后壁时诊断较困难

187. 下列超声表现中属于膝关节类风湿性关节炎的是
 ->A. 关节以滑膜增生为主，滑膜边缘回声不清
 ->B. 关节软骨表面凹凸不平
 ->C. 可在骨隆起处出现类风湿结节
 ->D. 关节游离体形成
 ->E. 出现腘窝囊肿

188. 关于睾丸肿瘤正确的有
 ->A. 多为原发性
   B. 多为良性
 ->C. 分生殖细胞肿瘤和非生殖细胞肿瘤
 ->D. 以淋巴道转移为主
 ->E. 精原细胞瘤多见

189. 患者，男，17岁，突发右侧睾丸疼痛1小时，临床诊断右侧睾丸扭转，其超声表现正确的是
 ->A. 内部回声欠均匀
 ->B. 睾丸内呈中等回声
 ->C. 睾丸周围少量液体
 ->D. 睾丸轻度肿大
 ->E. CDFI睾丸内血流信号消失

190. 前纵膈常见肿瘤包括
 ->A. 胸内甲状腺肿瘤
 ->B. 胸腺瘤
 ->C. 畸胎类肿瘤
 ->D. 精原细胞瘤
 ->E. 脂肪瘤

191. 四肢血管彩色多普勒表现为
 ->A. 单一层流、血流充盈良好，边缘整齐
 ->B. 血流信号呈红-蓝-红快速转变
   C. 血流信号呈红-黄-蓝-红转变
 ->D. 较大的动脉分叉处有紊乱血流信号
   E. 五彩镶嵌花色血流

192. 心肌舒张功能包括哪些指标
 ->A. 二尖瓣口血流E峰幅度
 ->B. 等容舒张期时间
   C. 等容收缩期时间
 ->D. 二尖瓣口血流A峰的速度时间积分
 ->E. 二尖瓣口血流A峰幅度

193. 胆囊窝区的声影可能误诊为胆石症，这些声影的原因是
 ->A. 胆囊颈部螺旋瓣
 ->B. 肝内钙化灶
 ->C. 肠道内气体
 ->D. 萎缩的胆囊
   E. 以上各项均不是

194. 下列关于血栓闭塞性脉管炎叙述正确的是
 ->A. 20～40岁青壮年男性多见，病程较长
 ->B. 主要侵犯中、小型动脉及其伴行的静脉（下肢多见）
 ->C. 二维超声显示病变处动脉内膜增厚、毛糙，正常部分与病变部分界限分明
 ->D. 伴行的静脉内膜可增厚或合并血栓
 ->E. 彩色多普勒显示动脉可存在闭塞或节段性狭窄

195. 引起闪烁伪像的原因包括
 ->A. 大血管搏动
   B. 结石
 ->C. 呼吸运动
   D. 组织震颤
 ->E. 心脏搏动
解析：引起闪烁伪像的原因与所检测的器官性质有关。

196. 下列对肺循环的叙述哪些是正确的
 ->A. 肺静脉血流入左心房
 ->B. 右心室血排入肺动脉
   C. 肺动脉血流入右心房
 ->D. 肺动脉血经肺进入肺静脉
 ->E. 右心房的血来自腔静脉

197. 下列哪些是胎盘早剥声像图表现
 ->A. 胎盘与子宫壁间形成血肿
 ->B. 胎盘增厚
   C. 胎盘过早成熟
 ->D. 胎盘的胎儿面向羊膜腔膨出
 ->E. 羊水增多

198. 急性骨髓炎的超声表现有
 ->A. 早期可见骨膜下脓肿带状无回声区
 ->B. 骨膜被掀起呈拱形抬高并增厚
 ->C. 骨周出现脓肿无回声区
 ->D. 骨皮质回声中断，骨质中出现不规则、边缘不清的低回声区，并夹杂有较强的回声
 ->E. 软组织肿胀，CDFI和CDE可见组织充血、血流信号增多

199. 良性实性肿物的声像图特点是
 ->A. 低回声区
   B. 无回声区
 ->C. 壁光滑，界限清楚
   D. 肿物壁不规则，界限不清
 ->E. 内部回声随增益增加而增强

200. 下列特点中属于脉冲超声多普勒技术的有
 ->A. 有深度分辨力
   B. 没有深度分辨力
 ->C. 其检测高速血流的能力，受脉冲重复频率的限制
   D. 不受奈奎斯特频率极限限制，能检测心脏的高速血流
 ->E. 高速血流超过一定极限，会出现频率失真，产生频率混叠

201. 浸润型胃肠癌的特征是
 ->A. 胃肠壁弥漫性显著增厚
   B. 胃肠壁局限性结节状肿块
 ->C. 弥漫增厚的胃肠壁呈“假肾征”
   D. 胃肠蠕动减弱
   E. 中央区强回声偏移

202. 淋巴结反应性增生的声像图特点是
 ->A. 淋巴结体积增大，长轴（L）/短轴（S）＞2
 ->B. 淋巴结呈椭圆形，有完整强回声包膜，皮质呈均匀低回声，髓质回声稍强
   C. 淋巴结呈类圆形，有完整中等回声包膜，皮质呈中等回声，髓质回声低
 ->D. 淋巴结内血流量、流速均增加，呈高速低阻血流
 ->E. 淋巴结内血管形态分布正常

203. 超声判断颈动脉轻度狭窄采用的方法是
 ->A. 形态学方法
 ->B. 二维、CDFI图像
 ->C. 狭窄面积百分比
   D. 脉冲多普勒频谱测量评估
   E. 连续多普勒频谱测量评估

204. 嗜铬细胞瘤的超声表现
 ->A. 肿瘤较大，4～6 cm或更大
   B. 肿瘤较小＜3 mm
 ->C. 内部为均质低回声，当囊性变时表现为无回声
   D. 内部为均质高回声，不会发生囊性变
 ->E. CDFI：瘤内呈星点状血流信号

205. 关于急性睾丸扭转的超声表现下列哪些是正确的
 ->A. 患侧精索增粗，可呈线团状
 ->B. 睾丸肿大，回声不均匀
 ->C. 睾丸内血供减少或无血流
 ->D. 可有鞘膜积液
   E. 睾丸内血流正常
