1. 患者15岁，男性，自幼肌肉僵硬，张力高，随意运动出现局部强直，肌僵硬更明显，易疲劳无力，检查受累肌肉肥大，硬韧，机械刺激后产生持续性肌肉收缩，出现肌丘或局部肌肉凹陷。EMG检查呈强制性放电。超声检查见受累肌肉肥厚，肌束回声粗大，受刺激后肌肉强直收缩时更明显，肌腹呈条索样隆起，回声减低，其他肌肉无异常。最可能的诊断为
   A. 侧壁肥厚型心肌病
   B. 主动脉瓣狭窄
 ->C. 肥厚型心肌病（梗阻性）
   D. 肥厚型心肌病（非梗阻性）
   E. 心尖肥厚型心肌病
解析：室间隔明显增厚且与左室后壁之比＞1.3～1.5是诊断肥厚型心肌病的依据之一；若室间隔明显增厚，造成左室流出道狭窄，则诊断为肥厚型梗阻性心肌病。左房增大，二尖瓣反流均是其间接征象。

266. 患者，男性，45岁，平素体健，无心脏病病史。体检发现左心房内一中强回声团块，附着于房间隔，并在心房内摆动。经胸超声心动图检查，根据下图<img src="https://exam.mvwchina.com/upload/2016/12/2254ead26b7848789c47b93fac8d5e34.jpg "/>，下列诊断正确的是
   A. 左心房内血栓
 ->B. 左心房内黏液瘤
   C. 左心房内横纹肌瘤
   D. 左心房内赘生物
   E. 以上都不正确

267. 女性，30岁。发现右侧乳房硬性肿物一个月。超声检查：右乳外上象限椭圆形1.0 cm×0.6 cm肿物，边界清晰、整齐，内部均匀低水平回声，后方无衰减，有侧方声影。最可能的诊断是
   A. 乳腺囊肿
   B. 乳腺囊肿合并囊内出血
   C. 乳腺囊肿合并囊内感染
 ->D. 乳腺纤维腺瘤
   E. 以上都不是

268. 患者女，45岁，风心病复诊，下列描述中，不符合风心病二尖瓣狭窄的超声描述是
 ->A. 彩色多普勒血流显像显示血流从左心室流向左心房
   B. 二尖瓣增厚、纤维化甚至有钙化
   C. 左心房扩大
   D. 二尖瓣口的血流速度增快
   E. 二尖瓣口变小

269. 患者男性，49岁，胆囊颈部侧壁见一个2.3 cm×1.5 cm的基底较宽的低回声团块，自囊壁突向腔内，表面不平整，彩色多普勒于其基底部探及少量条状搏动性血流频谱，胆囊浆膜层连续性欠佳。其最可能的诊断是
   A. 胆囊胆固醇沉着症
 ->B. 结节型胆囊癌
   C. 胆囊腺瘤
   D. 胆囊炎性息肉
   E. 胆囊腺肌增生症局限型

270. 男性，52岁。反复发热伴右上腹疼痛。超声检查示左肝管内数个大小不等的强回声团，前方与胆管壁之间见液性暗带，后方伴声影。提示诊断为
   A. 肝内钙化灶
   B. 肝内胆管积气
 ->C. 肝内胆管结石
   D. 胆管细胞肝癌
   E. 胆道蛔虫

271. 患者男性，45岁，有牧区生活史，超声检查：肝右叶可见一个7 cm×8 cm囊性占位，包膜较厚，回声高，呈双层，囊液透声不好，囊液中有细小的点状回声，可随体位改变而出现滚动，最可能的诊断是
   A. 肝囊肿合并感染
   B. 肝血肿
 ->C. 肝包虫囊肿
   D. 肝囊腺瘤
   E. 胆管囊肿合并感染

272. 患者男性，30岁，体检时，腮腺的超声表现是：两侧对称，表面光滑，回声均匀，其中见一管状结构，最可能是
   A. 腮腺炎
 ->B. 正常腮腺
   C. 腮腺导管扩张
   D. 先天性异常
   E. 腮腺囊肿
解析：考点正常腮腺的声像图表现，两侧对称，表面光滑，回声均匀，其中见一管状结构（腮腺导管）。

273. 患者男性，78岁，尿频、尿急、尿痛、血尿一个月。超声特征：充盈的膀胱内可见一强回声光团，后方伴声影，随体位移动而改变位置。本病可诊断为
 ->A. 膀胱结石
   B. 膀胱肿瘤
   C. 膀胱结核
   D. 膀胱壁钙化斑
   E. 膀胱内凝血块
解析：膀胱结核早期无明显异常，长期病变表现为整个膀胱壁弥漫性增厚，回声不均匀，表面不光滑，有时可见到钙化形成的斑点状强回声，不随体位移动而改变位置，重者膀胱容量减少；膀胱肿瘤声像图为膀胱内实质性肿块，不随体位移动而改变位置，当蒂较长时，可轻微移动；只有膀胱结石符合题中所述表现，因此答案选择A。

274. 患者，女性32岁，临床诊断慢性输卵管积水，其声像图表现错误的是
   A. 多在附件部出现纺锤形肿块
   B. 肿块边缘较清晰，呈薄壁状
   C. 肿块内部呈无回声区
 ->D. 大多为单侧
   E. 与子宫周围粘连严重时，可与子宫直肠陷凹积液连成一片，包围子宫

275. 患者男性，32岁，发现阴囊增大半年，无不适，超声显示：阴囊内液体三面包绕于睾丸，但不影响精索，最可能是
   A. 象皮肿
   B. 婴儿鞘膜积液
   C. 精索鞘膜积液
 ->D. 睾丸鞘膜积液
   E. 睾丸囊肿

276. 一患者因黄染1周就诊。超声检查示肝脏肿大，回声增强，肝内胆管树枝状扩张，肝外胆管未显示，胆囊未充盈，其梗阻部位最可能为
   A. 胆总管十二指肠后段
   B. 胆总管壶腹部
   C. 胆总管胰腺段
 ->D. 肝门部
   E. 胆总管十二指肠上段
解析：在空腹条件下，超声检查时，正常人的肝外胆管的上段及胆囊均应显示。当肝门部发生梗阻，肝内胆管因胆汁淤积而扩张，而肝外胆管和胆囊因无正常胆汁充盈导致超声难以显示。当然若肿瘤浸润较广泛，破坏了肝外胆管亦难以显示。

277. 男性，48岁。近两年来有心慌、憋气，进行性加重。二维超声见心脏扩大，左心大明显呈球形，室间隔及左室后壁似乎变薄，但测值属正常范围，室壁运动普遍低，各瓣膜无增厚，EPSS明显增大，呈高容量，低动力型血流动力学表现，心尖不可见附壁血栓光团，CDFI：二尖瓣轻度反流。最可能的诊断是
   A. 冠心病，心肌硬化型
   B. 冠心病并左心衰
 ->C. 扩张型心肌病
   D. 甲亢性心脏病
   E. 尿毒症性心脏病

278. 男性，40岁。经常右腰部酸痛，尿常规潜血（++）。超声所见：右肾大小、形态正常，实质回声均匀，集合系统多个强回声光团，后方伴声影。本病可诊断为
   A. 肾脓肿
   B. 肾结核
   C. 多囊肾
   D. 肾囊肿
 ->E. 肾结石
解析：肾结石典型的声像图表现为肾窦内出现点状或团块状强回声，通常有声影，血尿或镜下血尿比较多见。

279. 患者，男性，32岁，突发左腰部绞痛2小时，无发热，血常规检查正常。尿常规：红细胞20～30个。超声检查见左肾集合系统轻度分离，该侧输尿管上段内径约7 mm。该病最可能的诊断为
   A. 肾癌
   B. 急性肾炎
 ->C. 输尿管结石
   D. 肾包膜血肿
   E. 肾平滑肌脂肪瘤

280. 患者男性，52岁，自觉腰腹部胀痛，乏力，高血压。超声所见：双肾增大，形态失常，被膜凹凸不平， 肾实质基本消失，为大小不等类圆形囊腔占据，肾窦受压变形。本病应诊断为
   A. 肾脓肿
   B. 肾结核
 ->C. 多囊肾
   D. 肾囊肿
   E. 肾癌

281. 患者，男性，51岁，持续性黄疸伴皮肤瘙痒30天，近日加重。超声见肝内外胆管及胆囊均扩张，扩张的胆总管下端呈截断阻塞，局部隐约见一实性结节，主胰管扩张，内径0.6 cm，可能的阻塞病因是
 ->A. 壶腹周围癌
   B. 胆总管结石
   C. 胆总管囊肿
   D. 硬化性胆管炎
   E. 非特异性胆管炎症

282. 患者，男，25岁，右上腹隐痛不适，发热，无肝炎，超声描述：肝右叶一低回声，边界尚清，内可见不规则无回声区，CDFI：低回声区周边可见短线状血流信号。最可能的诊断是
   A. 肝囊肿
 ->B. 肝脓肿
   C. 肝癌
   D. 胆管扩张
   E. 多囊肝

283. 一位男性患者，既往有餐后剑突下腹痛，疼痛的节律性不明显，现突发全腹剧烈疼痛，腹部触诊腹肌紧张，全腹压痛及反跳痛。不符合该病的声像图征象是
 ->A. 胃腔内大量液体潴留，排空明显延迟
   B. 腹腔内可见游离气体回声
   C. 腹腔间隙可见游离液体回声，透声欠佳
   D. 胃肠蠕动减弱
   E. 腹部形态不规则包块，周围见网膜样强回声及局限性液体积聚
解析：该患者临床症状及声像图表现符合急性胃肠穿孔，而A项是胃潴留的声像图，其余均是胃肠穿孔的声像图征象。

284. 患者，男性，11岁，患有先天性主动脉瓣二瓣化畸形并严重主动脉瓣狭窄，置入19 mm双叶瓣机械瓣后，超声心动图显示最大峰值流速是3.5 m/s，而经导管测量主动脉瓣的压差只有25 mmHg，这种差异是
   A. 导管测量主动脉瓣口压差时的心排血量高于超声心动图测量时的心排血量：
 ->B. 压力恢复现象导致多普勒高估主动脉瓣的跨瓣压差
   C. 主动脉瓣瓣膜的压差高估是因为二尖瓣反流频谱跟主动脉瓣频谱混叠
   D. 对病人来说瓣膜太小
   E. 以上都不正确

285. 患者女性，18岁，心悸，乏力，呼吸困难，超声心动图诊断为鲁登巴赫综合征，其表现有
   A. 房间隔缺损合并三尖瓣狭窄
 ->B. 房间隔缺损合并二尖瓣狭窄
   C. 室间隔缺损合并二尖瓣狭窄
   D. 室间隔缺损合并二尖瓣脱垂
   E. 房间隔缺损合并肺动脉瓣狭窄

286. 一患者于常规体检时应用超声发现胆囊壁轻度增厚，自囊壁向腔内突起多个大小为3～7 mm乳头状强回声结节，基底较窄，不随体位改变而移动，不伴声影，诊断考虑为
   A. 息肉型胆囊癌
   B. 胆囊多发附壁结石
   C. 胆囊腺肌症
 ->D. 胆囊胆固醇沉着症
   E. 胆囊腺瘤
解析：高回声仅见于胆囊附壁结石和胆固醇性息肉，基底较窄的有可能胆囊胆固醇沉着症，即胆固醇性息肉。

287. 患者男性，33岁，右上腹不适。超声显示肝弥漫性增大、形态饱满、实质回声增强、光点细密，血管纹理模糊，后方肝组织回声减低。近胆囊左侧壁处有一3 cm×2 cm大小的片状低回声，无包膜，无占位效应。最可能的诊断是
   A. 均匀性脂肪肝
   B. 脂肪肝合并肝血管瘤
   C. 脂肪肝合并肝囊肿
 ->D. 非均匀性脂肪肝正常肝残留型
   E. 局限性脂肪肝
解析：肝实质回声弥漫性增强为脂肪浸润区域，其内出现的局限性片状弱回声区，为轻度脂肪浸润或相对正常肝残留区。好发于胆囊床，门静脉主干周围，无包膜，对周围胆囊、血管等结构无挤压即无肿瘤征象等超声特征有助于诊断。

288. 某男，36岁，睾丸肿大、疼痛就诊，超声检查可见：睾丸增大、肿块呈椭圆形、轮廓整齐、呈中低回声，最可能是
 ->A. 精原细胞瘤
   B. 胚胎癌
   C. 绒毛膜上皮癌
   D. 畸胎癌
   E. 混合性肿瘤

289. 患者女性，68岁，超声示胃壁增厚，形成大小为9.2 cm×7.5 cm的低回声实性肿块，似由数个弱回声结节融合而成，内部透声好，探头加压发生变形，最可能的诊断是
   A. 胃平滑肌瘤
   B. 胃息肉
 ->C. 胃恶性淋巴瘤
   D. 胃平滑肌肉瘤
   E. 胃间质瘤

290. 患者风湿性心脏病行二尖瓣置换术后若瓣膜功能正常，下列不应该出现的情况是
   A. 二尖瓣口舒张期血流速度1.5m/s
 ->B. 心尖四腔心切面人工瓣瓣周舒张期可见红色血流
   C. 二尖瓣口收缩期少量反流血流信号
   D. 三尖瓣口收缩期少量反流血流信号
   E. 肺动脉瓣口舒张期少量反流血流信号

291. 患者女性，34岁，剖宫产术后2年，痛经明显加重，且经期延长。超声检查：子宫大小：71 mm×53 mm×62 mm，前壁肌层厚度为18 mm，后壁肌层厚度为29 mm，肌层光点粗糙，回声减低，欠均匀，以后壁为著。双侧附件未见明显异常。可能的诊断是
   A. 子宫肥大症
   B. 子宫复旧不好
 ->C. 子宫腺肌病
   D. 子宫肌瘤
   E. 功能失调性子宫出血

292. 患儿男性，8岁，左腰部胀痛半年。超声特征：左肾中度积水，左输尿管未见异常，肾图显示左肾梗阻曲线，右肾正常。本病可诊断为
   A. 输尿管结石
   B. 输尿管肿瘤
 ->C. 输尿管先天畸形
   D. 膀胱肿瘤
   E. 以上均是
解析：输尿管结石及输尿管肿瘤在儿童少见，它们可以引起不同程度的肾积水，但在病变相应部位分别可以探及结石的强回声或局部管腔的不规则、中断及实性肿块，临床症状有肾绞痛、血尿等；膀胱肿瘤若能继发肾积水，必然继发输尿管的扩张在先，因此可以排除；先天性输尿管狭窄属输尿管先天畸形病变中的一种类型，其病理改变多见于狭窄段肌层肥厚和纤维组织增生，本病主要见于小儿，它没有自发性肾绞痛伴血尿的特点，当狭窄发生于肾盂输尿管连接部时，超声检查可观察到肾盂内出现无回声区，到输尿管连接部逐渐变窄或突然中断的声像图，输尿管无明显异常。

293. 女性患者，55岁，临床怀疑急性胆囊炎，超声表现下列哪一项具有特异性
   A. 胆囊内细小回声漂浮
   B. 胆囊壁增厚
   C. 胆囊增大
 ->D. 胆囊壁增厚合并超声“莫菲征”阳性
   E. “WES”征

294. 患者绝经后不规则阴道出血，声像图无明显改变，应怀疑什么疾病，最后确诊要靠哪项检查
   A. 黏膜下小肌瘤，血HCG
   B. 子宫内膜小息肉，诊断性刮宫
   C. 早期子宫肉瘤，血HCG
 ->D. 早期子宫内膜癌，诊断性刮宫
   E. 子宫内膜增生，诊断性刮宫

295. 患者，女，65，卵巢外腹膜浆液性乳头囊腺癌Ⅲc期术后5年余。超声检查：胰头、胰体形态大小正常，胰尾与脾门间可见7.6 cm×7.7 cm圆形不均质回声区，内回声由无-低-中等回声，CDFI：周边可见血管绕行。超声提示
   A. 胃平滑肌肉瘤
   B. 脾混合性占位（转移癌）
   C. 左肾上腺混合性占位（转移癌）
 ->D. 胰尾混合性占位（转移癌）
   E. 胰尾囊腺瘤

296. 患者38岁，女性，发病初期咽痛，上呼吸道感染症状，甲状腺中度肿大和疼痛，数周后可自行缓解；实验室检查：白细胞计数升高，T<sub>3</sub>、T<sub>4</sub>增高，吸碘率降低，γ球蛋白增高，血沉加快；超声检查见甲状腺呈对称性普遍性中度肿大，甲状腺与其接近的颈前肌二者之间间隙消失弥漫性粘连和疑为囊肿的低回声带（冲洗征）。最可能的诊断为
   A. 急性甲状腺炎
 ->B. 亚急性甲状腺炎
   C. 桥本甲状腺炎
   D. 侵袭性甲状腺炎
   E. 甲状腺囊腺瘤

297. 患者35岁，男性，因右膝关节周围肌肉内局部触到疼痛性肿块来诊，半年前有外伤史。查体：肿块骨样硬，无移动性，有压痛，关节活动受限。超声检查见肿块呈不规则、多层密集强回声团，有明显声影，边缘回声不清。最可能的诊断为
   A. 肌肉血肿
   B. 横纹肌溶解症
 ->C. 局限性骨化性肌炎
   D. 先天性肌强直
   E. 以上都不是

298. 患者，女，55岁，胃癌大部切除术后一年，胰腺区域见多发卵圆形低至无回声结节，边界清晰，胰管穿行于结节之间并轻度扩张，可能的诊断是
   A. 腹腔淋巴瘤
   B. 胰腺癌
   C. 胃间质瘤
   D. 胰岛细胞瘤
 ->E. 胰腺转移癌

299. 患者为急性广泛性前壁心肌梗死，并有心室重构，心室扩大，以下哪种方法能正确反映该患者左心收缩功能
   A. M型超声测心排出量
   B. 二维超声测心排出量
 ->C. 多普勒超声测心排出量
   D. M型超声测EF值
   E. M型超声测短轴缩短率（FS）

300. 男性，39岁。乙肝病史十余年，近来右上腹不适，ALT、AFP正常。超声所见：肝大小形态尚正常，实质回声增粗增强，可见7 mm低回声结节，肝静脉细窄，管壁不平整，胆囊壁轻度增厚。最可能的诊断是
   A. 急性肝炎
   B. 急性胆囊炎
   C. 慢性肝炎
 ->D. 肝硬化
   E. 急性肝坏死
解析：肝大小形态尚正常时，诊断肝硬化主要依据肝实质回声的变化。回声增强增粗，合并增生结节时，具有诊断价值。肝静脉的内径、管壁及走行改变是肝硬化的灵敏指标，表现为走行弧度不自然，蛇行，管径粗细不均，管壁不平整。

301. 女性，45岁。偶然发现右乳有一小硬结节，不活动。超声检查：右侧乳腺内见大小约0.8 cm×0.7 cm的低回声实性结节，后方衰减明显，CDFI：其内无血流信号，同侧腋窝淋巴结肿大。诊断首先要考虑是
   A. 腺纤维腺瘤
   B. 乳腺囊性增生
   C. 慢性囊性乳腺增生
 ->D. 乳腺硬癌
   E. 乳腺髓样癌

302. 患者女性，42岁，间断无痛性血尿2年，声像图示右肾中下部4.6cm×5.3cm中等偏低回声肿块，边界清楚，内部回声欠均匀，肿块向肾表面隆起，并推挤肾窦，右肾静脉内实性回声充填，考虑诊断是
   A. 肾血管平滑肌脂肪瘤
   B. 肾母细胞瘤
 ->C. 肾细胞癌
   D. 肾盂癌
   E. 肾结核

303. 患者女性，68岁，上腹部触及搏动性包块，轻度压痛。超声特征：腹主动脉局部呈瘤样增大，管壁变薄，与正常管壁相连，瘤内见云雾状血流回声，CDFI为低速填充型湍流频谱。本病可诊断为
   A. 假性腹主动脉瘤
 ->B. 真性腹主动脉瘤
   C. 夹层动脉瘤
   D. 腹主动脉血栓
   E. 腹主动脉粥样硬化

304. 患者中年男性，结肠癌术后2年，无乙肝史，超声检查肝回声密集增强，后方伴有声衰减，右肝前叶下段胆囊旁可见范围约18×15 mm的类圆形低回声区，超声诊断应首先考虑下面哪组疾病的鉴别
   A. 肝腺瘤与肝转移癌
   B. 原发性肝癌与肝转移癌
   C. 肝血管瘤与肝转移癌
 ->D. 非均匀性脂肪肝与肝转移癌
   E. 肝脓肿与肝转移癌

305. 患者，女性，72岁，二尖瓣置换术后出现收缩期杂音。根据经胸超声心动图所示<img src="https://exam.mvwchina.com/upload/2016/12/9b9c58d46ac741598c1e3e9dc662a9d1.jpg "/>，下列选项正确的是
 ->A. 二尖瓣机械瓣瓣周漏
   B. 双叶瓣瓣周漏
   C. 二尖瓣机械瓣瓣反流
   D. 正常双叶瓣关闭不全
   E. 以上都不正确

306. 患者，男，68岁，超声发现主动脉腔内出现漂浮的剥脱内膜，考虑为
   A. 真性动脉瘤
   B. 假性动脉瘤
 ->C. 夹层动脉瘤
   D. 动脉体瘤
   E. 动脉血栓

307. 患者，男，33岁，近一个月发现视力减退，眼科超声检查发现：球后肌肉圆锥内圆形实性病变，边界清，圆滑，内部回声均匀，声衰减中等；压迫眼球时肿瘤轴位缩短，CDFI显示肿瘤内无血流信号，最可能的是
   A. 眼眶海绵状血管瘤
   B. 泪腺混合瘤
   C. 神经鞘瘤
 ->D. 泪腺恶性肿瘤
   E. 视神经脑膜瘤

308. 患者，男性，57岁，由于二尖瓣脱垂并重度反流需进行二尖瓣修补术。术中TEE显示可见三尖瓣重度反流<img src="https://exam.mvwchina.com/upload/2016/12/4a95375577604d158d21768e7ea2541f.jpg "/>。下列选项正确的是
   A. 术中食管超声与普通超声相比，过高评估三尖瓣反流
   B. 二尖瓣修补术后，三尖瓣功能自会改善，无须做三尖瓣修补术
 ->C. 当三尖瓣存在重度反流时，应考虑行三尖瓣外科修复术，术中有可能会低估三尖瓣的反流
   D. 可能存在三尖瓣脱垂而引起重度反流
   E. 以上都不正确

309. 患者男性，43岁，肝炎病史15年，近年AFP升高，超声所见：肝右叶萎缩，左叶增大，肝表面不光滑，肝实质回声增粗、增强、不均匀、肝静脉扭曲变细，肝右前叶可见一个28 mm×30 mm的低回声实性占位，边缘有弱回声晕，最可能的诊断是
   A. 肝腺瘤
 ->B. 结节型肝癌
   C. 肝囊肿
   D. 肝转移癌
   E. 胆管细胞癌

310. 患者，女性，44岁，主诉劳累，偶有胸痛、心悸、呼吸困难。心电图显示左心室肥厚。经胸超声心动图所示，LVEF 65%，室间隔厚度18 mm，左心室后壁厚度13 mm。根据彩图<img src="https://exam.mvwchina.com/upload/2016/12/ddc264f170ba4bc5a91c4bffed949629.jpg "/>请选择正确答案
 ->A. 左心室流出道（LVOT）梯度44 mmHg
   B. LVOT梯度约135 mmHg
   C. 组织多普勒测量是在正常范围内
   D. 主动脉瓣延迟关闭
   E. 以上都不正确

311. 患者中年女性，无明显不适，超声检查于右侧肾上腺区可见一范围约48×36 mm的高回声团块，回声均匀，边界清晰，CDFI：内部未见明显血流信号，最可能的诊断是
   A. 肾上腺腺癌
 ->B. 肾上腺脂肪瘤
   C. 嗜铬细胞瘤
   D. 神经纤维瘤
   E. 肾上腺腺瘤

312. 女，26岁，停经23周。产前B超检查如图，结合超声图像，最可能的诊断为<img src="https://exam.mvwchina.com/upload/Picture/214d1a4f93944210a884f532162bb59a.jpg "/>
   A. 前置胎盘
   B. 正常晚期妊娠
 ->C. 胎儿畸形，脑积水
   D. 胎儿畸形，腹壁裂
   E. 脉络膜囊肿

313. 一女性患者胆囊切除术后一年，屡感上腹部不适，超声示近段胆管扩张，胆管内径10 mm，壁轻度增厚，回声增强，并可显示局部狭窄，肝脏稍增大，呈淤胆表现，其最可能的诊断是
   A. 胆管被误扎
   B. 急性肝炎
   C. 胆管肿瘤
 ->D. 术后胆道狭窄
   E. 硬化性胆管炎

314. 患者，男性，50岁，肝炎病史18年，于肝右叶探及一较大的高回声团块，其内可见形态不规则无回声区，周边可见低回声晕环绕，CDFI示团块内部及周边可见条状及簇状彩色血流分布，PW示为动脉频谱Vmax为66 cm/s，则下列哪项诊断可能性较大
   A. 转移性肝癌
   B. 胆管细胞癌
 ->C. 肝细胞癌
   D. 肝海绵状血管瘤
   E. 以上都不是

315. 患者女性，24岁，呼吸困难，乏力，上腹部疼痛。体征有肝肿大，胸腹水，颈静脉怒张。听诊有心音低钝，胸骨左缘3、4肋间可闻及心包叩击音。超声心动图诊断为缩窄性心包炎，其表现不包括
   A. 心包增厚粘连
   B. 心包钙化
   C. 左室舒张受限
 ->D. 常伴大量心包积液
   E. 下腔静脉增宽
解析：二维超声心动图能比较直观地显示本病的病理解剖改变，四腔心切面观察可显示双房明显扩大，双室相对较小，心包膜明显增厚，尤以房室瓣环部位为著。部分患者可有包裹性心包积液或少量心包积液，但不会伴有大量的心包积液。

316. 某男，36岁，睾丸肿大、疼痛就诊，超声检查可见：睾丸增大、肿块呈椭圆形、轮廓整齐、呈中低回声，最可能是
 ->A. 精原细胞瘤
   B. 胚胎癌
   C. 绒毛膜上皮癌
   D. 畸胎癌
   E. 混合性肿瘤

317. 患者20岁，男性，近来颈部发现一增大的肿块，有外伤史，肿大处皮肤变形；超声检查见多个分隔的囊性肿块位于甲状腺内，边界不规则。最可能的诊断为
   A. 甲状腺单纯性囊肿
   B. 甲状腺囊腺瘤
   C. 甲状腺癌囊性变
   D. 甲状腺髓样癌
 ->E. 甲状腺出血性囊肿

318. 患者绝经后不规则阴道出血，声像图无明显改变，应怀疑什么疾病，最后确诊要靠哪项检查
   A. 黏膜下小肌瘤，血HCG
   B. 子宫内膜小息肉，诊断性刮宫
   C. 早期子宫肉瘤，血HCG
 ->D. 早期子宫内膜癌，诊断性刮宫
   E. 以上都不正确

319. 患者女性，12岁，心悸，气短，超声心动图诊断为左房黏液瘤，超声特点不包括
   A. 肿块可发生变形
   B. 肿块活动度大
   C. 肿块有蒂
   D. 肿块根部小
 ->E. 肿块无蒂

320. 患者6岁，男性，发现颈部包块3天，有发热、寒颤、纳差，血常规白细胞计数升高，查体发现颈部皮肤发红、发热、肿胀、压痛；超声检查包块处见多个形态规则、两端稍尖的长圆形稍减弱回声，无融合现象，最可能的诊断为
   A. 颈部淋巴瘤
   B. 颈部淋巴结核
 ->C. 颈部淋巴腺炎
   D. 颈部海绵状血管瘤
   E. 颈部神经纤维瘤

321. 患者，青年男性，常规体检，听诊闻及右胸骨旁喷射性杂音和收缩期肺动脉瓣第二心音。根据经胸超声心动图右心室流出道彩色多普勒图像所示<img src="https://exam.mvwchina.com/upload/2016/12/53e9f15681444a678cda620d32c0edaa.jpg "/>，下列对该患者的叙述正确的是
   A. 有动脉导管未闭并形成艾森门格综合征
   B. 有房间隔缺损合并形成艾森门格综合征
 ->C. 可能存在重度肺动脉瓣狭窄并轻度反流
   D. 存在漏斗状肺动脉瓣狭窄
   E. 以上都不正确

322. 男性患者，66岁，既往大量饮酒史，近一年出现进行性吞咽困难，呕吐，超声示肝左叶后下方可见23 mm×19 mm形态不规则的“靶环征”影像，内腔偏移，周围可见肿大淋巴结，超声诊断考虑为
 ->A. 贲门癌
   B. 胃溃疡
   C. 右肾上腺肿瘤
   D. 胰头癌
   E. 下腔静脉癌栓

323. 患者女性，22岁，既往发现房间隔缺损，来我院复诊，超声心动图如下<img src="https://exam.mvwchina.com/upload/2016/12/7c26d3992bca42c594c788921662d6f7.jpg "/>，其房间隔缺损是哪种类型
   A. 原发孔型
   B. 冠状窦型
   C. 上腔型
 ->D. 下腔型
   E. 中央型

324. 患者，女，23岁，心脏超声检查示二尖瓣回声轻度增强，开放受限，左室内仅见一个乳头肌，前后瓣叶的腱索均附着于此，考虑为
   A. 吊床样二尖瓣
 ->B. 降落伞样二尖瓣
   C. 二尖瓣关闭不全
   D. 二尖瓣脱垂
   E. 以上都不是

325. 患者，71岁，二尖瓣双叶瓣置换术后，心尖四腔观察见左心室出现血流自发显影，考虑为
   A. 溶血
   B. 瓣膜反流
   C. 混响效应
 ->D. 正常人工瓣膜功能
   E. 以上都不正确

326. 一慢性粒细胞白血病患者，脾明显肿大，脾实质内见多发不均匀低回声区，病变形状为楔形，基底较宽位于包膜面，尖端指向脾门，或为三角形及不规则形，彩色多普勒超声检查显示病变区域内无血流信号。最可能的诊断是
   A. 脾血管瘤
   B. 肿瘤浸润
 ->C. 脾梗死
   D. 局灶性炎性病变
   E. 脾转移癌
解析：由于白血病细胞的异常增生和浸润，常可导致脾大。在脾明显肿大时，可因血管受压和阻塞而引起多发性脾梗死。楔形的不均匀低回声区，尖端指向脾门即为脾梗死典型表现。

327. 患者男性，43岁，肝炎病史15年，近年AFP升高，超声所见：肝右叶萎缩，左叶增大，肝表面不光滑，肝实质回声增粗、增强、不均匀、肝静脉扭曲变细，肝右前叶可见一个28 mm×30 mm的低回声实性占位，边缘有弱回声晕，最可能的诊断是
   A. 肝腺瘤
 ->B. 结节型肝癌
   C. 肝囊肿
   D. 肝转移癌
   E. 胆管细胞癌

328. 患者，女性，54岁，无不适主诉。经胸超声心动图所示<img src="https://exam.mvwchina.com/upload/2016/12/86ca5d25c513446fa6379fbc2fb2460c.jpg "/>，右心房外可探及一无回声区，周围囊壁完整，应诊断为
   A. 急性心包炎
   B. 心包转移
 ->C. 心包囊肿
   D. 胸腔积液
   E. 心包肿瘤

329. 患者，女性，26岁，呼吸困难、双下肢水肿进行性加重。经胸超声心动图所示<img src="https://exam.mvwchina.com/upload/2016/12/3f5c25fcaba542c4860ea3529c86ccc9.jpg "/>，左心室壁肥厚，心肌内闪烁有颗粒样强回声，考虑诊断为
 ->A. 心肌淀粉样变
   B. 非心源性病因
   C. 缩窄性心包炎
   D. 早期肥厚型心肌病
   E. 扩张型心肌病

330. 一6岁男孩，出生后有紫绀，6个月后紫绀明显，平时喜欢蹲踞，哭泣时有突发呼吸急促和青紫加重，请指出以下哪项诊断可能性大
   A. 房间隔继发孔缺损
   B. 室间隔小缺损
   C. 动脉导管未闭
 ->D. 法洛四联症
   E. 肺动脉口狭窄

331. 患者，女，37岁，孕4产1，下腹部及腰骶部疼痛约6年，临床诊断盆腔静脉淤血综合征，申请超声检查，下述各项不支持该诊断的是
   A. 大多数发生在30～50岁的经产妇
   B. 是由多种因素引起的盆腔静脉血管充血、扩张和淤血所致的综合征
   C. 是引起妇科慢性疼痛的重要原因之一
   D. 声像图主要表现为子宫旁串珠状或蜂窝状无回声区，呈红、蓝相间血流
 ->E. 频谱为连续、高速、搏动性波形

332. 男性，46岁。乙肝病史15年，超声检查示肝右叶8 cm×9 cm椭圆形肿块，边界较清，周边有晕，但不完整，内部回声不均，呈“块中块”表现。最可能的诊断是
   A. 结节型肝癌
   B. 弥漫型肝癌
   C. 肝硬化结节
 ->D. 巨块型肝癌
   E. 肝转移癌
解析：巨块型肝癌表现为肝内较大的肿块，一般直径＞5 cm，多数呈圆形、椭圆形或分叶状，边界不规则，周边晕征可因肿瘤穿破包膜而显示不完全或不规则，巨块型肿瘤周边晕征不清晰或消失。肿块以强回声多见，呈粗而不均或是其间杂有弱回声区，肿块内可有坏死液化区，“块中块”征是肝癌声像图的重要特征。

