1. 烧伤后引起气性坏疽的致病菌是

263. 下列阿米巴肝脓肿的治疗，不正确的是
   A. 首先考虑抗阿米巴药物治疗
   B. 脓肿较大，有穿破危险者，经皮肝穿刺置管引流术
   C. 穿刺抽脓，脓肿不见缩小，高热不退者，切开引流
 ->D. 脓肿继发细菌感染不能控制者，应反复穿刺抽脓
   E. 脓肿穿破胸腹腔者，必须切开引流，同时引流胸腹腔

264. 以下肝外伤肝叶切除术的手术指征，不正确的是
 ->A. 一叶的肝包膜撕脱或肝内血肿者
   B. 局部毁损伤，切除损伤的肝组织有利于修复者
   C. 肝后静脉损伤，需要切除部分肝组织以利显露修复者
   D. 肝损伤出血，用各种方法难以止血者
   E. 肝左外叶严重损伤者

265. 以下对脾脏解剖与生理功能的概述中，不正确的是
   A. 脾脏是人体最大的淋巴器官
   B. 脾动脉多沿胰腺上缘向胰尾方向行走
 ->C. 脾静脉在脾门处汇成主干，在胰腺上缘，脾动脉深面上方右行
   D. 脾动脉的分支包括胃网膜左动脉和胃短动脉
   E. 脾脏具有造血、储血、免疫等功能

266. 急性胰腺炎时，出现的Cullen征是指
   A. 季肋部青紫色瘀斑
 ->B. 脐周围青紫色瘀斑
   C. 腰背部青紫色瘀斑
   D. 上腹部青紫色瘀斑
   E. 下腹部青紫色瘀斑

267. 腹部伤的分类以医学诊断为基础，往往采取
 ->A. 伤因、伤部、伤型、伤情相结合的方法
   B. 伤因、伤类、伤部、伤情相结合的方法
   C. 伤因、伤部、伤型、伤类相结合的方法
   D. 伤因、伤类、伤型、伤部相结合的方法
   E. 伤因、伤型、伤类、伤情相结合的方法

268. 急性阑尾炎最常见的并发症是
   A. 细菌性肝脓肿
 ->B. 阑尾周围脓肿
   C. 内、外瘘形成
   D. 化脓性门静脉炎
   E. 脓毒血症、感染性休克

269. 肛裂“三联征”是指
   A. 疼痛、出血、前哨痔
   B. 肛裂、出血、前哨痔
 ->C. 肛裂、前哨痔、肛乳头肥大
   D. 便秘、出血、前哨痔
   E. 疼痛、便秘、出血

270. 下列对烧伤后肠源性感染的概述，不正确的是
   A. 与肠道菌群失调有关
   B. 与肠黏膜屏障功能损害有关
 ->C. 主要致病菌是革兰阳性菌
   D. 与免疫功能下降有关
   E. 肠道细菌和毒素可经肠道侵入播散全身

271. 现代腹腔镜探查诊断术的主要应用，不包括
   A. 急腹症
 ->B. 腹部火器伤
   C. 腹部创伤
   D. 慢性腹痛
   E. 腹腔肿瘤

272. 下列妊娠期急性阑尾炎的临床表现特点及处理原则，错误的是
   A. 转移性右下腹痛的规律性，是妊娠期急性阑尾炎的固有症状和诊断的重要依据
   B. 炎症易扩散，可导致流产
   C. 嘱患者采取右侧卧位，妊娠子宫移到右侧而引起疼痛，提示阑尾炎可能
 ->D. 以保守治疗为主
   E. 腹膜刺激征不明显

273. 下列对胃大部切除术后残胃癌的概述中，错误的是
 ->A. 术后3年内残胃发生的原发癌，称为残胃癌
   B. 发生率在2%左右
   C. 与术后低胃酸、胆汁反流和肠道细菌逆流有关
   D. 临床表现与一般胃癌大致相仿
   E. 一经确诊应采取手术治疗

274. 急性胰腺炎时，有关淀粉酶变化的临床意义，下列选项错误的是
   A. 血淀粉酶在6～12小时开始升高，48小时开始下降，持续3～5天
   B. 尿淀粉酶在12～24小时开始升高，持续1～2周
 ->C. 尿淀粉酶测定值≥10 U/dl（索氏单位）有诊断意义
   D. 淀粉酶升高的幅度与病变的严重程度不呈正相关
   E. 腹腔穿刺液，测淀粉酶值对诊断很有帮助

275. 下列对烧伤后肠源性感染的概述，不正确的是
   A. 与肠道菌群失调有关
   B. 与肠黏膜屏障功能损害有关
 ->C. 主要致病菌是革兰阳性菌
   D. 与免疫功能下降有关
   E. 肠道细菌和毒素可经肠道侵入播散全身

276. 贲门的周围血管，不包括
   A. 胃冠状静脉
   B. 胃短静脉
   C. 胃后静脉
 ->D. 奇静脉
   E. 左膈下静脉

277. 全身情况较差的老年人，临床诊断瘢痕性幽门梗阻。手术治疗宜采取
   A. 半胃切除术
   B. 胃大部切除术
   C. 幽门成形术
 ->D. 胃空肠吻合术
   E. 胃十二指肠吻合术

278. FNH最特殊的病理特征是
 ->A. 切面中心部位的星状瘢痕伴放射状纤维分隔
   B. 显微镜下可见肝细胞，但无门脉三联结构或胆管
   C. 镜检显示大小不等囊状血窦、其内充满红细胞，时有血栓形成，血窦之间有纤维组织隔，纤维隔内见有小血管及小胆管
   D. 纤维组织和肌成纤维细胞组成，伴有许多炎细胞浸润，以浆细胞为主
   E. 由坏死、液化的肝组织和白细胞组成
解析：FNH通常为孤立的结节性肿块，病理切片的特征表现为切面中心部位的星状瘢痕伴放射状纤维分隔。

279. 造成下肢深静脉血栓形成的主要原因是
   A. 化学性损伤、机械性损伤和感染性损伤
 ->B. 血流缓慢、静脉壁损伤和高凝状态
   C. 卧床、久坐和静脉曲张
   D. 血纤维蛋白原和纤维蛋白溶解异常
   E. 创伤、休克和手术

280. 腹部伤的分类以医学诊断为基础，往往采取
 ->A. 伤因、伤部、伤型、伤情相结合的方法
   B. 伤因、伤类、伤部、伤情相结合的方法
   C. 伤因、伤部、伤型、伤类相结合的方法
   D. 伤因、伤类、伤型、伤部相结合的方法
   E. 伤因、伤型、伤类、伤情相结合的方法

281. 关于胃癌根治术的禁忌证，下列选项不正确的是
   A. 大量血性腹水
   B. 直肠膀胱（子宫）窝种植转移灶
   C. 腹膜广泛转移
   D. 锁骨上淋巴结转移
 ->E. 肝左叶孤立性转移灶

282. 下列哪项是鉴别原发性下肢静脉曲张和深静脉瓣膜功能不全的最佳检查手段
   A. CTV
   B. MRV
   C. DSA
 ->D. Ultrasound 超声
   E. Radiograph X线片
解析：深静脉瓣膜功能不全为深静脉瓣膜功能的破坏使血液向浅静脉倒流、瘀滞，其临床表现与原发性浅静脉曲张相似，但症状更严重。临床上必须排除深静脉瓣膜功能不全后才能诊断原发性浅静脉曲张，下肢彩色多普勒超声和逆行下肢静脉造影，常可作为鉴别手段。无创的彩色多普勒超声检查可作首选，能检测深静脉瓣膜功能，判断Valsalva动作、咳嗽等情况下，是否出现逆向血流，以及逆向血流持续时间。

283. 关于外伤性脾破裂行脾切除的指征，下列哪项不正确
   A. 伤后早期即出现失血性休克者
   B. 经输液、输血12～24小时，血压尚不能维持稳定者
   C. 合并腹部多脏器伤者
   D. 延迟性脾破裂者
 ->E. 凡影像学检查有脾损伤者

284. 烧伤削痂主要适用于
   A. Ⅰ烧伤
   B. 浅Ⅱ度烧伤
   C. Ⅲ度烧伤
 ->D. 深Ⅱ度烧伤
   E. 轻度烧伤

285. 根据淋巴结清除范围的不同，胃癌根治术分为根Ⅰ式、根Ⅱ式和根Ⅲ式。以下关于远端胃癌根Ⅱ式手术的淋巴结清扫范围， 正确的是
 ->A. 1、3、4、5、6、7、8、9组淋巴结
   B. 1、2、3、4、5、7、8、9、10、11组淋巴结
   C. 1、2、3、4、5、6、8、9、10、11组淋巴结
   D. 1、3、4、5、6、8、9、10、11、12组淋巴结
   E. 3、4、5、6、7、8、9、10组淋巴结

286. 以下肝海绵状血管瘤的外科治疗，不宜采用的是
   A. 直径＜15 cm或多发性小血管瘤者，可行血管瘤捆扎术
   B. 多发或病变广泛，无法切除者，可行肝右、肝左或肝固有动脉结扎术
   C. 单发，肝周边或局限于肝一侧者，可行肝局部切除、肝叶切除或半肝切除术
   D. 范围超过半肝，余肝代偿增大，肝功能正常者，可行肝三叶切除术
 ->E. 巨大肝海绵状血管瘤，可行硬化剂注射术

287. 下列胆道出血的紧急处理，错误的是
 ->A. 结扎肝总动脉
   B. 抗感染和止血
   C. 超选择性肝动脉造影，进行栓塞治疗
   D. 确定肝内局限性病变的性质和部位后施行肝叶切除术
   E. 先非手术治疗

288. 深Ⅱ度与Ⅲ度烧伤发生“自溶脱痂”的时间一般为伤后
   A. 1～2周
   B. 2～3周
 ->C. 3～4周
   D. 4～5周
   E. 5～6周

289. 以下对门静脉高压症腹水的论述中，不正确的是
   A. 肝内型门脉高压症的晚期约1/3患者有腹水
   B. 呕血后常引起或加剧腹水的形成，有些“顽固性腹水”甚难消退
 ->C. 肝外型门脉梗阻由于肝功能损害严重，腹水顽固
   D. 腹水的出现是肝功能失代偿的表现
   E. 原因包括低蛋白血症、门静脉压升高和肝功能损害

290. 门静脉的正常压力为
   A. 0.49～1.27 kPa
   B. 2.35～3.43 kPa
   C. 2.94～3.92 kPa
 ->D. 1.27～2.35 kPa
   E. 1.27～3.43 kPa

291. 胰十二指肠切除术最常见的并发症是
   A. 术后出血
   B. 感染
   C. 糖尿病
 ->D. 胆、胰瘘
   E. 肝衰竭

292. 下列溃疡性结肠炎的治疗措施中，一般不采用的是
   A. 全身支持治疗、纠正体液代谢失调
 ->B. 外科手术
   C. 应用柳氮磺吡啶、肾上腺糖皮质激素等药物
   D. 应用抗生素控制感染
   E. 氢化可的松普鲁卡因溶液或林格液保留灌肠

293. 临床上表现为面色潮红、腹泻、心悸和血钙降低的甲状腺癌的病理类型是
   A. 原发性鳞状细胞癌
   B. 滤泡状腺癌
   C. 乳头状腺癌
   D. 未分化癌
 ->E. 髓样癌

294. 临床上表现为面色潮红、腹泻、心悸和血钙降低的甲状腺癌的病理类型是
   A. 原发性鳞状细胞癌
   B. 滤泡状腺癌
   C. 乳头状腺癌
   D. 未分化癌
 ->E. 髓样癌

295. 外科治疗门静脉高压症的主要目的是
   A. 改善肝功能，防止肝功能衰竭的发生
   B. 改善全身情况
 ->C. 防止食管胃底曲张静脉破裂所致的大出血
   D. 治疗顽固性腹腔积液
   E. 切除功能亢进的脾脏，调节免疫功能

296. 胸导管损伤的主要临床表现是
   A. 呼吸困难
   B. 伤口周围皮下血肿
   C. 伤口周围皮下气肿
 ->D. 伤口流出乳糜样液体
   E. 伤口流出带泡沫的血性液体

297. 最易发生包虫病的器官是
 ->A. 肝
   B. 肺
   C. 腹腔
   D. 胸腔
   E. 骨骼
解析：细粒棘球绦虫虫卵因人误食进入十二指肠孵化成六钩蚴，经穿黏膜静脉后汇入门静脉血流，首先到达肝滞留寄生，约占包虫病的70%。

298. 对鉴别低位与高位肠梗阻最有帮助的体征是
   A. 有无腹痛
 ->B. 表现以腹胀为主
   C. 表现以呕吐为主
   D. 有无血便
   E. 有无肛门排气、排便

299. 发生气管损伤时，首先要处理的是
   A. 伤口局部加压
   B. 缝合伤口
 ->C. 清除呼吸道积血，保持呼吸道通畅
   D. 伤口填塞
   E. 气管插管
解析：气管损伤时因血液流入呼吸道引起窒息，故应尽快清理呼吸道，保持呼吸道通畅，而不应盲目填塞、压迫止血和缝合伤口。

300. 布-加综合征属于
   A. 心源性肝硬化
   B. 肝内型门静脉高压
   C. 肝小静脉闭塞病
 ->D. 肝静脉流出道梗阻疾病
   E. 下腔静脉梗阻性疾病
解析：B-CS是指主肝静脉开口部和（或）肝后段下腔静脉血流受阻所引起的肝后型门静脉高压和（或）下腔静脉高压综合征。

301. 电烧伤的主要特点是
 ->A. 常合并呼吸心搏骤停
   B. 与火焰烧伤的病理改变基本相同
   C. 深度可达肌肉、骨组织或内脏
   D. 创面发生细菌感染
   E. 休克

302. Mirizzi综合征是指
   A. 胆总管结石嵌顿和压迫，引起胆总管狭窄，出现反复的胆管炎
   B. 肝总管结石嵌顿和压迫，引起胆囊胆管瘘，出现梗阻性黄疸
 ->C. 胆囊结石嵌顿和压迫，引起肝总管狭窄或胆囊胆管瘘，出现反复的胆管炎、梗阻性黄疸
   D. 左肝管结石嵌顿和压迫，引起左肝管狭窄梗阻，出现反复的胆管炎、梗阻性黄疸
   E. 右肝管结石嵌顿知压迫，引起右肝管狭窄梗阻，出现反复的胆管炎、梗阻性黄疸

303. 烧伤后引起气性坏疽的致病菌是
   A. 金黄色葡萄球菌
 ->B. 梭状芽胞杆菌
   C. 铜绿假单胞菌
   D. 链球菌
   E. 鲍曼不动杆菌

304. 阑尾类癌施行右半结肠切除术的适应证中，不包括
   A. 类癌直径＞2 cm
   B. 类癌位于阑尾根部并已侵及盲肠
   C. 类癌巳侵及阑尾系膜、回盲部肠壁
   D. 区域淋巴结肿大并快速活检证实有转移
 ->E. 急性阑尾炎术后病理诊断为类癌者

305. 下列胃大部切除术后的并发症中，切忌再次手术的是
   A. 急性完全性输入段梗阻
   B. 胃肠吻合口破裂
 ->C. 残胃排空障碍
   D. 十二指肠残端破裂
   E. 输出段梗阻

306. 下列妊娠期急性阑尾炎的临床表现特点及处理原则，错误的是
   A. 转移性右下腹痛的规律性，是妊娠期急性阑尾炎的固有症状和诊断的重要依据
   B. 炎症易扩散，可导致流产
   C. 嘱患者采取右侧卧位，妊娠子宫移到右侧而引起疼痛，提示阑尾炎可能
 ->D. 以保守治疗为主
   E. 腹膜刺激征不明显

307. 急性胰腺炎时，出现的Grey-Tumer征是指
   A. 腰部皮肤出现大片青紫色瘀斑
   B. 季肋部皮肤出现大片青紫色瘀斑
 ->C. 腰部、季肋部和腹部皮肤出现大片青紫色瘀斑
   D. 腹部皮肤出现大片青紫色瘀斑
   E. 腹部脐周出现大片青紫色瘀斑
解析：Grey-Turner征，又称格雷特纳征，见于急性重症胰腺炎，表现为单侧或双侧腰部、季肋部和腹部皮肤出现大片不规则青紫色瘀斑。

308. 关于胰腺的血液供应特点，下列不正确的是
 ->A. 胰腺的动脉为循环动脉，相互交通吻合呈网状
   B. 胰十二指肠上动脉和胰十二指肠下动脉分别来自胃十二指肠动脉和肠系膜上动脉
   C. 胰头部的血供来自胰十二指肠上动脉和胰十二指肠下动脉
   D. 胰十二指肠上动脉和胰十二指肠下动脉在胰头部相互形成动脉弓
   E. 胰体尾部的血供来自胰背动脉及其分 支、胰大动脉和胰尾动脉

309. 有关胆囊腺瘤样息肉病变的特点，下列不正确的是
   A. 属于胆囊常见的良性肿瘤
 ->B. 无恶变倾向
   C. 可合并胆囊炎或胆囊结石
   D. 乳头状腺瘤可发生出血、坏死
   E. 通常直径为0.5～2 cm，可单发或多发

310. 根据影像学检查和血管造影表现，下列布-加综合征的临床类型中，错误的是
   A. 以下腔静脉隔膜为主的局限性狭窄或阻塞
   B. 下腔静脉弥漫性狭窄或阻塞
   C. 肝静脉阻塞
   D. 肝静脉+下腔静脉阻塞
 ->E. 肝静脉下下腔静脉阻塞

311. 关于短肠综合征的临床表现特点，下列错误的是
   A. Ⅰ期：急性期，术后1～3个月，进食即严重腹泻，大便总量达2～3 L
   B. Ⅱ期：适应代偿期，术后数月至1年左右。营养不良，体重下降、消瘦
   C. Ⅲ期：稳定期，术后1年以后，饮食基本可以满足营养需要，体重回升
 ->D. Ⅳ期：完全代偿期，体质恢复正常
   E. 可出现体液代谢及酸碱平衡失调、负氮平衡、血浆蛋白降低、缺铁性贫血等

312. 急性胆囊炎最严重的并发症是
   A. 细菌性肝脓肿
   B. 胆囊积脓
 ->C. 胆囊坏疽穿孔致胆汁性腹膜炎
   D. 急性胰腺炎
   E. 继发胆总管结石
解析：急性胆囊炎最严重的并发症是胆囊坏疽穿孔致胆汁性腹膜炎，可造成患者严重的腹腔感染、感染性休克等严重后果。

313. 阑尾炎最重要的体征是什么
 ->A. 右下腹压痛
   B. 脐周压痛
   C. 肠鸣音减弱
   D. Rovsing′s征阳性
   E. Obturator征阳性
解析：阑尾炎最重要的体征为右下腹压痛。故A选项正确。

314. 腹腔镜在腹部外科的应用范围中，不包括
   A. 腹腔镜探查诊断术
   B. 腹腔镜胆囊切除、胆总管切开探查术
   C. 腹腔镜胃肠、阑尾、结直肠手术
   D. 腹腔镜肝、胰、脾手术
 ->E. 腹腔镜下腹主动脉瘤切除手术

315. 下列甲状舌管囊肿的临床特点中，不正确的是
   A. 是较常见的先天性疾病
   B. 颈前中线的囊性肿块，圆形，质软，光滑，边界清楚，B超检查有助诊断
   C. 并发感染囊肿可增大、疼痛，破溃后形成瘘管
 ->D. 不随吞咽及伸舌而上下移动
   E. 手术切除不彻底容易复发

316. 胰腺癌最好发的部位是
 ->A. 胰头部
   B. 胰腺体部
   C. 胰腺尾部
   D. 胰体与腺尾交界处
   E. 异位胰腺

317. 下列手术方式中，属于无张力疝修补的是
   A. Halsted法
   B. Ferguson法
   C. McVay法
 ->D. 人工网片疝修补术
   E. Bassini法

318. 下列门静脉高压症的主要临床特点中，不包括
   A. 各种原因使门静脉系统血流受阻，血液 瘀滞，导致门静脉及属支静力压升高
   B. 临床上出现脾大和脾功能亢进，肝功能 受损，甚至衰竭
   C. 食管胃底静脉曲张和呕血、腹水
   D. 门静脉压力>2.45 kPa（25 cmH<sub>2</sub>O）
 ->E. 胃壁组织淤血、水肿

319. 下列细菌性肝脓肿的治疗，不宜采取的是
   A. 全身支持治疗
   B. 应用抗生素
 ->C. 多发性肝脓肿应积极手术治疗
   D. 经皮肝穿刺置管引流术
   E. 切开引流

320. 有关甲状腺滤泡状癌的临床特点，下列错误的是
   A. 是一种实质的具有包膜的肿瘤，常密布丰富的血管网
   B. 多见于40〜60岁的中老年妇女
   C. 临床表现与乳头状癌相类似，但肿瘤一般较大
 ->D. 较多局部淋巴结转移，很少发生血道转移
   E. 浸润和破坏邻近组织，可出现呼吸道压迫等症状
解析：由于滤泡状癌包膜上常密布丰富的血管网，癌细胞可穿出包膜进入静脉形成癌栓，成为远处转移的起点，所以滤泡状癌多见于血道转移，较少局部淋巴结转移。

321. 对诊断下肢动脉硬化闭塞症意义不大的影像学检查是
   A. MRA
   B. DSA
   C. CTA
 ->D. X Ray
   E. Duplex
解析：对于下肢动脉硬化闭塞症的诊断，彩色多普勒超声检查为无创的初步检查方法，可作为筛查。确诊和拟定外科手术或腔内治疗方案，根据需要进一步行磁共振血管造影（MRA）、血管造影（CTA）、数字减影血管造影（DSA）等检查。X Ray难以显示下肢血管形态，对于下肢动脉硬化闭塞症的诊断意义不大。

322. 原发性肝癌的TNM分期，下列选项不正 确的是
   A. Ⅰ期：T<sub>1</sub>N<sub>0</sub>M<sub>0</sub>
   B. Ⅱ
期：T<sub>2</sub>N<sub>0</sub>M<sub>0</sub>
   C. Ⅲ期：T<sub>1</sub>N<sub>1</sub>M<sub>0</sub>，T<sub>2</sub>N<sub>1</sub>M<sub>0</sub>，T<sub>3</sub>N<sub>1</sub>M<sub>0</sub>
 ->D. Ⅳ<sub>A</sub>期：T<sub>3</sub>N<sub>0</sub>M<sub>0</sub>
   E. Ⅳ<sub>B</sub>期：T<sub>1～4</sub>N<sub>0～1</sub>M<sub>1</sub>

323. 对未明确诊断的急腹症患者，下列哪项处置是错误的
   A. 严密观察
   B. 禁用吗啡、杜冷丁等镇痛剂
   C. 禁用泻药和灌肠
 ->D. 流食
   E. 抗炎治疗
解析：对未明确诊断的急腹症患者，应禁食处理；严密观察以及时处理病情变化，镇痛剂的应用会掩盖临床症状的变化，故对于诊断未明确的患者应禁用，若为肠道梗阻或穿孔的患者，盲目导泻或灌肠会引起病情的恶化，诊断不明确时可预防性予抗炎治疗。

324. 下列结肠癌的TNM分期，错误的是
 ->A. T<sub>is</sub>和T<sub>x</sub>早期癌和原发癌
   B. T<sub>1</sub>肿瘤侵及黏膜下层
   C. T<sub>2</sub>肿瘤侵及固有肌层
   D. T<sub>3</sub>肿瘤穿透肌层至浆膜下或侵及无腹膜覆盖的结肠或直肠周围组织
   E. T<sub>4</sub>肿瘤穿透脏层腹膜或直接侵犯其他脏器或组织

325. 以下对胰岛素瘤的概述中，不正确的是
   A. 来源于胰岛B细胞，直径在1.0～2.5 cm之间
 ->B. 多为多发，可恶性变
   C. 典型症状为早晨自发性低血糖，发作时血糖低于2.8 mmol/L
   D. 反复测定空腹血糖可低至2.2 mmol/L，葡萄糖耐量试验可呈低平曲线
   E. B超或CT检查及腹腔动脉造影有助于 诊断和定位

326. 关于慢性纤维性甲状腺炎的治疗，不宜采取的是
   A. 肾上腺皮质激素
 ->B. 放射性碘治疗
   C. 他莫昔芬（三苯氧胺）
   D. 甲状腺激素
   E. 手术解除压迫症状

327. 有关胆囊结石的临床表现特点，下列不正确的是
   A. 静止性胆囊结石约占50%
   B. 不典型的消化道症状常被误诊为胃病
 ->C. 胆绞痛呈持续性，阵发性加剧
   D. 结石或粘连压迫梗阻引起胆囊积液，胆囊胀大
   E. 并发肝总管狭窄或胆囊胆管瘘，出现胆管炎、梗阻性黄疸（Mirizzi综合征）

328. 根据甲状腺乳头状癌的不同情况，下列外科治疗，不宜采取的是
   A. 患侧甲状腺全切除+峡部切除+中央区淋巴结清扫
   B. 甲状腺全切除+中央区淋巴结清扫或颈淋巴结清扫
   C. 甲状腺素治疗
   D. 全甲状腺切除术+<sup>131</sup>I治疗
 ->E. 常规放疗、化疗
解析：由于甲状腺乳头状癌对放化疗不敏感，故不作为常规治疗手段。

329. 肛门的主要功能是
   A. 消化
   B. 吸收
   C. 分泌
 ->D. 排便
解析：肛门主要功能是排便。直肠无消化功能，只有少量吸收、分泌和排泄作用。

330. 根据影像学检查和血管造影表现，下列布-加综合征的临床类型中，错误的是
   A. 以下腔静脉隔膜为主的局限性狭窄或阻塞
   B. 下腔静脉弥漫性狭窄或阻塞
   C. 肝静脉阻塞
   D. 肝静脉+下腔静脉阻塞
 ->E. 肝静脉下下腔静脉阻塞

331. 下列血栓闭塞性脉管炎的诊断要点，错误的是
 ->A. 长期生活在潮湿环境或体力劳动者
   B. 青壮年男性，吸烟史
   C. 游走性静脉炎病史
   D. 肢体有缺血表现
   E. 患肢足背或胫后动脉搏动减弱或消失

332. 腹股沟斜疝与直疝在解剖上的主要区别是
   A. 斜疝疝囊颈在腹壁下动脉外侧，直疝在内侧
 ->B. 斜疝压迫内环妬块不再突出，直疝仍可突出
   C. 斜疝与腹横筋膜薄弱有关，直疝与腹壁肌肉薄弱有关
   D. 斜疝疝囊在精索后方，直疝在前外方
   E. 斜经腹股沟管突出，可进入阴囊，直疝由直疝三角突出，不进入阴囊

333. 特重烧伤是指
 ->A. 烧伤总面积＞50%或Ⅲ度烧伤面积＞20%
   B. 烧伤总面积＞25%
   C. Ⅲ度烧伤面积＞10%
   D. 烧伤总面积31%～50%
   E. Ⅲ度烧伤面积达15%

334. 烧伤治疗的最主要目标是
   A. 使创面无菌化
 ->B. 重建和恢复皮肤屏障
   C. 避免创面加深
   D. 防止皮下血管栓塞
   E. 防止瘢痕出现

335. 下列肝棘球呦病采取肝叶或肝部分切除术的指征，错误的是
   A. 局限于肝左外叶或右半肝，体积巨大、孤立，囊壁坚厚或钙化不易塌陷，而病侧肝组织已萎缩者
   B. 局限于肝一叶的多发性囊肿者
   C. 引流后囊腔经久不愈，遗留瘘管者
   D. 囊肿感染后形成厚壁的慢性脓肿者或局限的肝泡状棘球蚴病者
 ->E. 感染严重，引流量多或与较大胆管相 通，残腔大者

336. 关于甲状腺功能亢进的临床特征，以下错误的是
 ->A. TSH增高，T<sub>3</sub>、T<sub>4</sub>、FT<sub>3</sub>、FT<sub>4</sub>降低
   B. 甲状腺合成释放过多甲状腺激素
   C. 基础代谢率增高
   D. 交感神经兴奋性增强
   E. 甲状腺弥漫性肿大，突眼征
解析：甲状腺功能亢进时，甲状腺分泌的T<sub>3</sub>、T<sub>4</sub>、FT<sub>3</sub>、FT<sub>4</sub>明显升高，由于甲状腺和垂体轴的反馈抑制作用，TSH降低。

337. 下列哪种腹痛为典型阑尾炎的腹痛
   A. 严重的右上腹痛
   B. 严重的右下腹痛
   C. 腹痛放射至会阴部
   D. 腹痛放射至后背部
 ->E. 转移性右下腹痛
解析：典型阑尾炎的腹痛为转移性右下腹痛。故E选项正确。

338. 空腔脏器破裂时最主要的体征是
   A. 腹部出现移动性浊音
 ->B. 腹膜刺激征
   C. 腹式呼吸消失
   D. 肠鸣音消失
   E. 肝浊音界消失

339. 有关胆囊腺瘤样息肉病变的特点，下列不正确的是
   A. 属于胆囊常见的良性肿瘤
 ->B. 无恶变倾向
   C. 可合并胆囊炎或胆囊结石
   D. 乳头状腺瘤可发生出血、坏死
   E. 通常直径为0.5～2 cm，可单发或多发

340. 下列急性胰腺炎，不需要外科手术干预的是
   A. 急性胰腺炎合并胰腺脓肿
   B. 急性胰腺炎合并ARDS
   C. 暴发型急性胰腺炎
   D. 腹腔穿刺液为血性或脓性
 ->E. 腹痛剧烈，恶心呕吐频繁

341. 大面积深度烧伤合并急性肾功能不全者，出现大面积创面溶痂、感染并有脓毒症征象。此时，创面的处理措施宜采取
   A. 创面包扎，局部应用强有力敏感抗生素
   B. 创面外用强有力敏感抗生素湿敷
 ->C. 手术去除坏死焦痂，有效创面覆盖
   D. 暴露疗法，尽可能保痂
   E. 浸浴促进自然脱痂

342. 下列肝内胆管的解剖特点，错误的是
   A. 凡左、右肝胆管开口以上者，称为肝内胆管系统
   B. 肝内胆管和肝内门静脉、肝动脉同被包在Glisson鞘内
   C. 包括毛细胆管、小叶间胆管、肝段和肝叶胆管、左肝管和右肝管的肝内部分
   D. 左右肝管为一级分支
 ->E. 各肝段为二级分支，左内、左外叶和右前、右后叶为三级分支

343. 下列关于消化性溃疡并发出血的叙述，正确的是
   A. 胃溃疡一般比十二指肠溃疡容易发生
 ->B. 一般出血50～100 ml即可出现黑便
   C. 出血超过500 ml时就可引起循环障碍
   D. 半小时内出血超过1000 ml时均会出现休克
   E. 第一次出血后很少复发
解析：A. 出血是消化性溃疡常见并发症，一般十二指肠溃疡较胃溃疡易发生，故A选项错误。B. 一般出血达50～100 ml即可出现黑便，故B选项正确。C. 出血超过1000 ml可出现循环障碍，故C选项错误。D. 半小时内出血超过1500 ml时会发生休克，故D选项错误。E. 第一次出血后约40%的人会复发，故E选项错误。

344. 急性胆囊炎穿孔的表现形式最为多见的是
   A. 引起弥漫性胆汁性腹膜炎
 ->B. 被周围组织所包裹，形成胆囊周围脓肿
   C. 形成胆囊-十二指肠、结肠或胆管瘘
   D. 穿破胆囊床，形成肝脓肿
   E. 形成腹腔脓肿

345. 门静脉高压症最安全有效的断流手术方式为
   A. 脾切除+胃冠状静脉结扎术
   B. 食管下端胃底切除术
   C. 脾切除+胃底横断术
   D. 食管下端横断术
 ->E. 脾切除+贲门周围血管离断术

346. 颈淋巴结结核最常见的传染途径是
   A. 肺结核通过血液循环传染
   B. 胸膜结核通过淋巴循环传染
 ->C. 病原菌主要由扁桃体和龋齿等处侵入而传染
   D. 肠结核通过消化道和血液循环传染
   E. 肾结核经血液循环传染
解析：肺结核、胸膜结核、肠结核和肾结核都不是颈淋巴结结核的传染根源所在，结核分枝杆菌多由口腔或扁桃体侵入，约5%继发于肺和支气管结核病变。

347. 胆囊的血液供应，以下不正确的是
   A. 胆囊动脉大多源自肝右动脉
   B. 变异者可源自肝左、肝中、肝固有、胃十二指肠和肠系膜上动脉
   C. 胆囊动脉在Calot三角内分出深浅支分别供应胆囊床面和游离面
   D. 胆囊静脉以多个分支回流至门静脉系统，也可经胆囊床进入肝实质汇入肝静脉
 ->E. 胆囊动脉为无侧支的终末动脉，胆囊炎时易发生栓塞

348. 上消化道出血的范围是
   A. 贲门以上的出血
   B. 幽门以上的出血
 ->C. Treitz韧带以上的出血
   D. 空回肠交界处以上的出血
   E. 回盲部以上的出血

349. 焦痂切开减张术的手术层次应达
   A. 真皮下
   B. 真皮内
   C. 表皮下
   D. 皮下脂肪层
 ->E. 深筋膜层

350. 重症烧伤休克期实施早期喂养的概念是指.
   A. 休克期可正常进食
   B. 休克期口服大量营养液
   C. 休克期静脉补充营养
   D. 休克期静脉补充高张葡萄糖溶液
 ->E. 休克期在积极补液抗休克的同时，口服少量流质饮食

351. 烧伤切痂主要适用于
   A. Ⅰ度烧伤
   B. 浅Ⅱ度烧伤
 ->C. Ⅲ度烧伤
