1. 女性，60岁。腹痛、呕吐及肛门停止排气排便3天。查体：腹胀可见肠型，全腹有压痛。腹部X线片：肠管扩大，可见多个液平面。应选何种治疗

190. 男性，48岁。全身乏力，食欲减退，间断解黑便，进行性消瘦6个月。查体：上腹部膨隆，轻压痛，肝脾未触及，移动性浊音（-）。大便潜血试验（+++）。首先要考虑的诊断是
   A. 出血性胃炎
 ->B. 胃癌
   C. 食管静脉曲张破裂出血
   D. 疣状胃炎出血
   E. 消化性溃疡出血

191. 女性，53岁。查体时B超检查发现左肾下极囊性占位，囊壁光滑，边界清楚，直径3.5 cm。目前的处理宜采取
   A. 抗炎、对症治疗
 ->B. 定期复查
   C. 经皮穿刺抽吸、注射硬化剂
   D. 腹腔镜手术治疗
   E. 开放手术治疗

192. 男，9岁，因腰腹疼痛就诊，排尿可，有恶心、呕吐，经当地医院检查诊断为先天性肾盂输尿管交界处狭窄，右肾积水。查体：右腰腹肿块，有波动感，无压痛。尿常规化验正常。肾图示右肾呈梗阻曲线，功能中度受损，右肾正常。根据临床表现及检查应采取何种治疗措施
   A. 肾部分切除
   B. 肾切除
   C. 肾造口
 ->D. 肾盂输尿管成形
   E. 无需治疗

193. 男性，70岁。排尿困难10年，加重伴尿频、尿急和尿痛1年。查体：前列腺Ⅱ度增大，质中，表面光滑。B超检查：前列腺5.2 cm×4.6 cm×3.8 cm。治疗宜采取
   A. 开腹前列腺摘除术
   B. 理疗
   C. 药物治疗
 ->D. 经尿道前列腺电切术
   E. 以上都不是

194. 患者男，46岁。急性阑尾炎伴阑尾穿孔手术后持续发热半个月。右上腹及右肋缘下疼痛，并向右肩部放射。腹部X线平片：右膈肌膨隆，可见局限性液平。X线胸片：右侧胸腔积液。根据患者情况，首先要考虑的术后并发症是
   A. 腹腔感染
 ->B. 右膈下脓肿
   C. 右肺部感染
   D. 右膈上脓肿
   E. 高位肠间脓肿

195. 男性，35岁，膀胱内2 cm大小结石，首选治疗方法是
   A. 药物溶石
   B. 切开膀胱取石
 ->C. 内镜下碎石取石
   D. 体外震波碎石
   E. 不予处理

196. 女性，3岁。因跌坐火炉中导致会阴及臀部烧伤2小时入院。烧伤面积约6%，浅Ⅱ度，处理创面首选的方法是
   A. 包扎疗法
 ->B. 暴露疗法
   C. 湿敷疗法
   D. 浸浴疗法
   E. 手术疗法

197. 患者，男性，9岁。跨栏杆时骑跨伤1小时，能够自行排尿，但是尿道口溢血。查体：血压、脉搏正常，会阴轻度血肿，耻骨上可触及胀大的膀胱。由于患儿哭闹不能配合，F12尿管导尿失败。下一步该如何处理
   A. 输液及抗菌药物治疗，继续观察
   B. 耻骨上穿刺造瘘
 ->C. 麻醉下再次试行留置尿管
   D. 立即行经会阴手术止血，修复尿道
   E. 会阴部加压包扎

198. 男性，34岁。路滑向后摔倒，枕部着地，昏迷40分钟。醒后对受伤过程记忆不清，呕吐3次。急诊检查：神清，嗜睡。枕部皮肤裂伤，出血已停止。神经系统（-）。头部CT检查见双额极少许混杂密度影。X线片示枕骨纵向线状骨折。正确的诊断应是
   A. 轻型闭合性颅脑损伤、脑震荡、枕骨骨折
   B. 中型开放性颅脑损伤、双额叶脑挫裂伤、枕骨骨折
   C. 重型闭合性颅脑损伤、双额叶挫伤、枕骨骨折
 ->D. 中型闭合性颅脑损伤、双额叶脑挫裂伤、枕骨骨折
   E. 轻型闭合性颅脑损伤、脑挫裂伤、枕骨骨折

199. 男性，头部外伤后2小时，伤后曾昏迷约3分钟。查体：刺痛睁眼，回答问题错误，压眶定位，头顶有一头皮血肿约3 cm×3 cm，头皮无明显裂伤。左侧外耳道可见稀薄血性液体流出。CT左颞可见一线形骨折，左额颞可见一薄层硬膜下血肿，左颞点、片状高密度，颅内可见少量气体。GCS评分为
   A. 3分
   B. 11分
   C. 12分
   D. 9分
 ->E. 10分

200. 女性，27岁。颈部增粗，胃纳好，消瘦和心悸，首先采取的确诊方法是
 ->A. 测定血清甲状腺素
   B. 甲状腺摄取<sup>131</sup>I率测定
   C. 基础代谢
   D. 抗甲状腺药物试验性治疗
   E. 超声波检查

201. 患者，女性，28岁。分娩中大出血约1000 ml，血压下降至60/30 mmHg，3小时后输血、输液，血压回升至96/60 mmHg，尿量200 ml/24h，尿比重1.016，尿蛋白（+），尿钠44 mmol/L，尿肌酐/血肌酐<10，尿渗透压350mOsm/L，血BUN23.4 mmol/L，Hb90.9 g/L，血小板100×10<sup>9</sup>/L。诊断最可能为
   A. 肾前性氮质血症
 ->B. 急性肾小管坏死
   C. 失血性休克
   D. DIC
   E. 急性间质性肾炎

202. 患者女性，42岁。因车祸致脑外伤3h到我院急诊，主诉头痛，恶心，未呕吐。查体；神志清楚，对答切题，四肢活动自如，左侧眼睑青紫肿胀，鼻腔有血迹，神经系统（-）。最可能的诊断是
 ->A. 前颅底骨折
   B. 中颅底骨折
   C. 颅后窝骨折
   D. 左侧眼球外伤
   E. 额骨骨折

203. 男性，56岁。突发右下肢疼痛无力2小时。查体：P104次/分，律绝对不齐，右下肢苍白，皮温发凉，动脉搏动未触及。首选治疗为
   A. 导管造影溶栓
 ->B. 经皮腔内血管成形术
   C. 中医中药治疗
   D. 经股动脉切开取栓术
   E. 高压氧治疗

204. 男性，29岁，半年前上腹部曾受钝挫伤。2个月前上腹部出现肿物，近来常有呕吐，但无腹痛及发热。检查：上腹部有巨大囊性肿物，无压痛，诊断为假性胰腺囊肿。最好的治疗方法是
   A. 继续观察
   B. 穿刺抽吸囊肿内容物
   C. 手术切除囊肿
   D. 囊肿外引流术
 ->E. 囊肿内引流术

205. 男性，30岁。腹部刀刺伤2小时。剖腹探查发现肝，胃和小肠多处刺裂伤。手术首先要处理的是
   A. 小肠破裂修补术
   B. 胃破裂修补术
   C. 控制腹腔污染
   D. 纱布填塞止血
 ->E. 肝破裂修补术

206. 女性，40岁。因右侧甲状腺单发结节，无淋巴结肿大，行甲状腺结节局部切除术。术后病理报告为甲状腺乳头状腺癌。术后5天拆线。根据患者情况，正确的处理措施是
   A. 口服甲状腺素片
   B. 再次手术切除患侧腺体
   C. 再次手术切除患侧腺体、清扫患侧淋巴结
 ->D. 再次手术切除患侧腺体、峡部及对侧腺体大部，术后长期口服甲状腺素片
   E. 颈部放射治疗

207. 女性，20岁。自幼发现左眼睑外侧肿块，生长缓慢。查体：左眼睑外侧有一直径约1.0 cm圆形皮下包块，与表皮无粘连，界限清，囊性感明显，基底活动度较差。诊断首先考虑
 ->A. 皮样囊肿
   B. 表皮样囊肿
   C. 纤维瘤
   D. 皮脂腺囊肿
   E. 毛囊炎

208. 患者男，29岁。间歇性上腹部隐痛伴反酸、嗳气4年，解柏油样黑便1周。昨日劳累后 突然呕吐鲜红色血，量约400 ml。根据患者情况，出血最可能的原因是
   A. 胆道出血
   B. 胃癌出血
   C. 食管胃底静脉曲张破裂出血
 ->D. 胃、十二指肠溃疡出血
   E. 应激性溃疡出血

209. 男性，50岁。慢性肝病15年。突然呕血400 ml。查体：巩膜轻度黄染。腹软无压痛，肝肋下未扪及，移动性浊音阳性。诊断首先要考虑的是
   A. 胆道出血
   B. 十二指肠溃疡出血
   C. 胃癌出血
 ->D. 食管静脉曲张破裂出血
   E. 出血性胃炎

210. 女性，34岁。肛周伤口反复破溃伴有少量溢液，在此种情况发生前，病人最可能患有
   A. 内痔
   B. 外痔
   C. 肛裂
   D. 直肠脱垂
 ->E. 直肠肛管周围脓肿

211. 女性，45岁。间歇性无痛性肉眼血尿伴蚯蚓状血块2个月。膀胱镜检查：膀胱内未见肿瘤，左输尿管口喷血。为尽快明确诊断，最有价值的检查是
   A. CT
   B. B超
   C. MRI
   D. 左肾穿刺顺行造影
 ->E. 左肾盂输尿管逆行造影

212. 男性，52岁。因患十二指肠球部溃疡合并幽门不全梗阻入院施行胃大部切除术。术中出血约600 ml。心率92次/分，呼吸20次/分，血压98/60 mmHg，血红蛋白105 g/L。在输血问题上，正确做法是
 ->A. 输注晶体液补充血容量，原则上不输血
   B. 输全血600 ml以补充丢失的血量
   C. 输注红细胞悬液600 ml
   D. 输注血浆和红细胞各300 ml
   E. 输注血浆600 ml，不输红细胞

213. 男性，30岁。右颈部外伤术后2个月。查体发现右侧瞳孔缩小，上睑下垂，眼球内陷。诊断首先应考虑的是
   A. 喉返神经损伤
   B. 迷走神经损伤
   C. 臂丛神经损伤
 ->D. 颈交感神经损伤
   E. 膈神经损伤

214. 男性，69岁。头痛、头晕、右半身麻木无力2个月入院。高血压病史4年，常年服药。查体：血压正常，神志清。眼底视盘边缘模糊不清，右面部感觉减退，双眼展神经轻度麻痹，右口角力弱，右侧肢体不全瘫，右侧病理反射阳性。X线胸片：右肺第2肋间可见阴影。本例患者考虑有
   A. 左大脑中动脉闭塞
   B. 脑干缺血性病灶
   C. 高血压脑出血
 ->D. 颅内压增高
   E. 脑萎缩

215. 男性，28岁。发现全身多发包块，偶有疼痛2个月。查体：胸、腹壁及双上肢皮下对称性散在分布多个肿物，直径为1.0～2.5 cm不等，质软，边界清，有分叶感.活动度较大，无触痛。诊断首先考虑
   A. 多发性皮脂腺囊肿
   B. 多发性纤维瘤
 ->C. 多发性脂肪瘤
   D. 多发性神经鞘瘤
   E. 多发性混合瘤

216. 女性，55岁，B超发现左肾下极直径约7.5 cm肿物，CT提示左肾肿瘤局限肾内，肾癌可能。余未见异常，手术切除范围可不包括
   A. 左肾周筋膜
   B. 左肾周脂肪
   C. 左肾
 ->D. 左肾上腺
   E. 左肾门淋巴结

217. 男性，43岁。既往有胃溃疡病史。已进行性黄疸1个月，伴陶土样便。B超示肝内外胆管扩张，胆总管内径1.6 cm。确诊应选择
   A. B超检查
   B. CT检查
   C. ERCP检查
 ->D. 静脉胆道造影
   E. 以上都不是

218. 女性，46岁。手术发现胃窦癌3 cm×2 cm，周围无明显转移，手术切缘距肿瘤的距离
   A. 肿瘤远端切除范围5 cm，近端距肿瘤边缘5 cm
   B. 肿瘤远端切除范围2 cm，近端距肿瘤边缘5 cm
   C. 肿瘤远端切除范围2 cm，近端距肿瘤边缘6 cm
   D. 切除幽门远侧3 cm，近端切缘距肿瘤边缘3 cm
 ->E. 切除幽门远侧3 cm，近端切缘距肿瘤边缘至少5 cm以上

219. 男性，56岁。间歇性全程肉眼血尿1年多。血尿伴不规则小血块及轻度膀胱刺激症状，不发热，体重下降3～4kg。B超检查：膀胱左侧壁上有一5 cm大小广基肿瘤，侵犯膀胱壁几乎达全层，左输尿管下段扩张，提示膀胱癌。入院检查：T37.0℃，P80次/分，R12次/分，BP130/80 mmHg。最有助于确诊的检查是
   A. 尿细胞学检查
 ->B. 膀胱镜检+活检
   C. 尿培养
   D. 静脉尿路造影
   E. CT

220. 男性，42岁。左侧腰痛、血尿3天，B超检查：双肾多发囊性占位，左侧最大者直径约14 cm，右侧直径最大者3.8 cm。IVU检查：肾盂肾盏受压变形，似蜘蛛状，盏颈拉长、变细呈弯曲状。血肌酐116 μmol/L。根据患者情况，目前的治疗宜采取
   A. 不必处理，观察
   B. 经皮穿刺抽吸、硬化剂注射
 ->C. 囊肿去顶减压术
   D. 血液透析
   E. 肾移植

221. 患者男，59岁。急性弥漫性腹膜炎观察2小时后病情无缓解，腹胀加重，但病因仍难以确定。根据患者情况，下列治疗措施，不宜采取的是
 ->A. 立即进行剖腹探查
   B. 纠正水电解质、酸碱代谢失调
   C. 禁食、胃肠减压、补充能量、营养支持
   D. 应用广谱抗生素
   E. 通过辅助检查尽可能明确病因

222. 患者男，22岁。两天前左季肋部被打伤，当时仅感伤部疼痛，仍可工作。翌日伤部疼痛逐渐加重，仍勉强工作。今下午突然出现腹剧痛，晕倒在地。查体：P120次/分，BP80/60 mmHg。面色苍白，痛苦面容，被迫体位。全腹压痛，反跳痛明显，以左上腹为甚。诊断首先要考虑
   A. 急性脾破裂
 ->B. 延迟性脾破裂
   C. 肝破裂
   D. 肠系膜血管破裂
   E. 肾破裂
解析：脾脏质地脆弱，是腹内脏器中最易受伤的器官。脾损伤分为中央型破裂、被膜下破裂和真性破裂。前两种因被膜完整，出血量受到限制，可无失血性休克的表现。但仍有潜在的延迟性破裂可能性，如不注意绝对卧床休息，即使在微弱的外力作用下，也可发生严重的内出血。延迟性脾破裂是由脾中央破裂和被膜下破裂发展而形成的真性脾破裂，常因前期症状不典型，病情先轻后重，起病初期很难引起患者和医生的重视而易造成误诊或漏诊。

223. 男性，19岁。高空坠落伤1小时。查体：P110次/分，BP70/50 mmHg。躁动，双瞳孔等大，对光反应迟钝。腹腔穿刺抽出不凝血。头颅CT检查示左额硬膜下血肿，血肿量约25 ml，中线无明显移位。正确的治疗方案是
   A. 立即开颅清除血肿
   B. 抗休克治疗的同时行开颅血肿清除术
 ->C. 抗休克治疗的同时先行开腹探查
   D. 抗休克治疗至血压正常后再行手术
   E. 开颅及开腹探查同时进行

224. 患者男，31岁。烧伤面积30%，Ⅲ度。伤后第3周出现体温不升，呼吸困难，精神差，腹胀明显，创缘下陷，可见坏死斑。实验室检查：白细胞3.2×10<sup>9</sup>，中性粒细胞90%，淋巴细胞10%。血培养为鲍曼不动杆菌。诊断为脓毒症。抗感染治疗首选
   A. 氨苄西林
   B. 利奈唑胺
 ->C. 米诺环素
   D. 万古霉素
   E. 卡泊芬净

225. 女性，28岁。左乳胀痛5天，可触及4.5 cm×4 cm肿块，体温38.2℃。诊断为急性乳腺炎，对该病人的不适当处理为
   A. 使用抗生素
 ->B. 手术切除
   C. 穿刺检查
   D. 超声检查
   E. CT检查

226. 男性，40岁。突然上腹剧痛涉及全腹，病人面色苍白，出冷汗，心率120次/分，血压下降，全腹压痛，反跳痛，肌紧张，该病人首选的检查应为
   A. 腹部CT检查
 ->B. 腹部X线检查
   C. 经皮肝穿刺胆管造影（PTC）
   D. 血清淀粉酶
   E. 十二指肠引流物检查

227. 男性，45岁。因阑尾穿孔行阑尾切除术后7天，自腹腔引流管有粪便样液体流出，应如何处理
   A. 手术
   B. 禁食
   C. 胃肠减压
 ->D. 保持引流通畅，观察
   E. 穿刺

228. 患者男，52岁。瓦斯爆炸伤后12小时入院。查体：P 142次/分，R 36次/分，BP  94/48 mmHg。创面疼痛、呼吸深快，烦躁，谵妄。双肺未闻及啰音，动脉血气检查结果：动脉血pH 7.20，[HCO<sub>3</sub><sup>-</sup>]17 mmol/L，PaO<sub>2</sub> 60 mmHg，PaCO<sub>2</sub> 28 mmHg。临床诊断为瓦斯烧伤90%，深Ⅱ度。目前，患者呼吸功能不全最可能的原因为
 ->A. ARDS
   B. 头颈部烧伤创面肿胀导致气道梗阻
   C. 吸入性损伤
   D. 吸入过多CO<sub>2</sub>
   E. 胸部焦痂限制呼吸运动

229. 女性，50岁。既往有先天性双肾盂双输尿管畸形，两天来劳累后出现腰痛、腰酸、尿频，不发热；一天前自服羟氨苄青霉素后症状不缓解来诊。尿液检查为蛋白微量，RBC2个/HP，WBC2个/HP，NIT阴性。此时应考虑
   A. 停用抗生素
 ->B. 继续应用抗生素3天
   C. 继续应用抗生素10天
   D. 行冲洗中段尿培养
   E. 行静脉肾盂造影

230. 患者男，45岁。上腹痛伴恶心呕吐12小时，吐后疼痛不减轻。查体：T 38℃。上腹部压痛。实验室检查：白细胞15×10<sup>9</sup>/L，血淀粉酶560索氏单位，尿淀粉酶256索氏单位。首先要考虑的诊断是
 ->A. 急性胰腺炎
   B. 急性胆囊炎
   C. 急性胃炎
   D. 急性肠系膜淋巴结炎
   E. 溃疡穿孔

231. 女性，32岁。进行性膀胱刺激症状，经抗生素治疗不见好转，且伴有右侧腰部胀痛及午后潮热。此时，对诊断有决定性意义的尿液检查是
   A. 尿液查红细胞
   B. 尿液查脓细胞
   C. 尿液细菌培养
 ->D. 尿沉渣找结核杆菌
   E. 尿液找结核杆菌

232. 女性，42岁，体型肥胖。反复上腹疼痛、腹胀1年余，多在饱餐、进食油腻食物后发作，并向右肩背部放射。查体：一般情况良好。皮肤巩膜无黄染，全腹软，无压痛及肌紧张。根据患者症状、体征，首先要考虑的诊断是
   A. 高位慢性阑尾炎
   B. 胆管结石
   C. 十二指肠溃疡
   D. 慢性胃炎
 ->E. 慢性结石性胆囊炎

233. 女性，25岁，结婚3个月，反复尿频、尿急、尿痛两个月，应诊断为
   A. 急性肾盂肾炎
   B. 肾结核
 ->C. 尿道膀胱炎
   D. 膀胱结石
   E. 滴虫性阴道炎

234. 患者女，38岁，右侧血性乳头溢液，右侧乳晕区1点钟位近乳头处可触及小肿物，约黄豆大小，伴压痛，质中，界限不清，压迫时可见乳头溢出血性液体，最可能的诊断是
   A. 乳腺导管内增生
 ->B. 乳腺导管内乳头状瘤
   C. 乳腺囊性增生症
   D. Paget病
   E. 乳腺脓肿

235. 患者，男性，63岁。近半年来常有不明原因的低热，37.5℃左右，未诊治。因1周前有一次无痛性肉眼血尿前来就诊。BP170/100 mmHg，查体未发现异常。查血红蛋白97 g/L，尿常规（-）。其最可能的病因是
   A. 肾小球肾炎
   B. 肾病综合征
 ->C. 肾细胞癌
   D. 肾盂癌
   E. 原发性高血压

236. 患者男，56岁。突然呕血2小时，量约800 ml。嗜酒史20年。查体：P 110次/分，BP 90/70 mmHg。肝脾于肋缘下未触及。实验室检查：WBC 3.1×10<sup>9</sup>/L，Hb 70 g/L，血小板56×10<sup>9</sup>/L。根据患者情况，首先应考虑的诊断是
   A. 出血性胃炎
   B. 消化性溃疡出血
 ->C. 食管胃底静脉曲张破裂大出血
   D. 胃癌出血
   E. 胆道出血

237. 男性，52岁。十二指肠溃疡穿孔20小时。入院施行穿孔修补术后6天，体温38℃，腹痛、腹胀，大便次数增多，有黏液，里急后重，最大的可能是
   A. 急性肠梗阻
   B. 假膜性脓肿
 ->C. 盆腔脓肿
   D. 细菌性痢疾
   E. 并发门静脉炎

238. 男性，34岁。因甲状腺Ⅱ度肿大行手术治疗，术中病理为：慢性淋巴细胞性甲状腺炎，应如何处理
   A. 行双侧甲状腺部分切除术
   B. 行双侧甲状腺次全切除术
   C. 立即停止手术，缝合伤口，术后给予抗甲状腺药物治疗
 ->D. 立即停止手术，缝合伤口，术后给予甲状腺素治疗
   E. 立即停止手术，缝合伤口，术后给予放射治疗

239. 男性，30岁。尿频、尿急、尿痛1年余，间歇性血尿，多种抗生素治疗无明显效果。诊断首先应考虑
   A. 慢性膀胱炎
   B. 膀胱结石
 ->C. 肾结核
   D. 肾盂肾炎
   E. 膀胱肿瘤

240. 女性，50岁。背阔肌皮瓣移植再造乳房术后第一天，表面皮肤颜色暗紫肿胀，最可能的原因是
 ->A. 静脉回流不畅
   B. 动脉缺血
   C. 皮瓣下血肿
   D. 皮瓣撕脱
   E. 感染

241. 女性，50岁。头外伤致右额颞硬膜下血肿，行开颅血肿清除及去骨瓣减压术。术后4小时出现左侧瞳孔散大至4 mm。此时，应采取的治疗措施是
   A. 再次开颅探查
 ->B. 立即脱水治疗，复查头颅CT
   C. 脑室外引流
   D. 保守治疗
   E. 继续观察病情变化，视情况再决定治疗方案

242. 患儿，男，1岁。诊断为右侧睾丸鞘膜积液，下列哪项是最佳处理方案
 ->A. 观察到2岁
   B. 立即引流
   C. 药物治疗
   D. 鞘膜翻转术
   E. 穿刺抽吸

243. 女性，3岁。自出生后右面部有一红色、界限清晰的斑块，不高出皮面，压之能褪色，随年龄增长而增大。最可能的诊断是
 ->A. 葡萄酒色斑
   B. 海绵状血管瘤
   C. 蔓状血管瘤
   D. 局部炎症
   E. 毛细血管充血

244. 男性，47岁。左侧面部痛并右侧颞肌萎缩14个月。头颅MRI检查发现左侧颅中、后窝哑铃形占位病变，增强扫描病灶呈均一强化，脑干听觉诱发电位正常。诊断考虑为
   A. 听神经鞘瘤
 ->B. 三叉神经鞘瘤
   C. 脑膜瘤
   D. 胶质瘤
   E. 以上都不是

245. 男性，36岁。搬运工人。诊断为腹股沟斜疝，行疝修补术后，恢复工作的时间是
   A. 术后至少2周
   B. 拆线后至少1周
   C. 术后体力恢复后
   D. 术后至少1个月
 ->E. 术后至少3个月

246. 男性，37岁。行毕Ⅱ式胃大部切除术（输入段对小弯术式）后2周，出现上腹部胀痛的症状，多出现在进食后半小时左右，伴有恶心和呕吐，呕吐物为胆汁样液体，不含食物；吐后症状明显减轻。查体：患者消瘦，轻度脱水表现，上腹部轻压痛，未闻及振水音。引起上述症状最可能的原因是
   A. 吻合口梗阻
   B. 输出段梗阻
   C. 输入段梗阻
   D. 倾倒综合征
 ->E. 输入段综合征

247. 女性，43岁。临床诊断甲状腺功能亢进，经充分术前准备后，施行甲状腺次全切除术。术后第2天患者突然出现面部及四肢抽搐。应立即作出的处置措施是
   A. 静脉滴注地塞米松
   B. 口服抗甲状腺药物
   C. 肌内注射地西泮
   D. 口服甲状腺素片
 ->E. 静脉推注10%葡萄糖酸钙

248. 患者男，40岁。烧伤面积80%，Ⅲ度烧伤。创面处理的方法宜采用
 ->A. 有计划分期切痂植皮
   B. 应用中药
   C. 一次性切痂植皮
   D. 自然脱痂植皮
   E. 磺胺嘧啶银冷霜保痂

249. 男性，45岁。3天前右小腿皮肤破损处略红肿，疼痛，未予重视。今日病变扩散蔓延，疼痛加剧，伴畏寒，发热。查体：体温38.3℃。右小腿肿胀，压痛明显，表皮发红，指压稍褪色，红肿边缘界限不清。正确的诊断是
   A. 坏死性筋膜炎
   B. 急性静脉炎
   C. 产气性皮下蜂窝织炎
   D. 急性淋巴管炎
 ->E. 皮下蜂窝织炎

250. 女性，46岁。无痛性全程肉眼血尿7个月。B超检查：左肾增大，呈结节状。膀胱镜检查：左侧输尿管口喷血。最可能的诊断是
 ->A. 肾癌
   B. 肾胚胎癌
   C. 多囊肾
   D. 肾盂癌
   E. 输尿管癌

251. 男，21岁，2天前骑自行车摔伤枕部，今出现右耳部皮下淤血斑，应首先考虑为
   A. 耳后软组织损伤
   B. 头皮血肿
 ->C. 颅后窝骨折
   D. 颅中窝骨折
   E. 脑震荡

252. 女性，34岁。主诉右乳胀痛，与月经周期有关，检查乳房有多个结节状肿块，边界不清，可推动，诊断首先考虑
   A. 乳腺癌
   B. 乳房纤维腺癌
 ->C. 乳房囊性增生病
   D. 乳管内乳头状癌
   E. 乳房肉瘤

253. 男性，62岁。左下胸被板车撞击，检查：P120次/分，R24次/分，BP80/40 mmHg。脸色苍白，四肢湿冷。下列处理哪项不对
   A. 快速补血，抗休克
   B. 禁饮食
   C. 腹部穿刺
   D. 急诊剖腹探查
 ->E. 上腹部CT检查

254. 男性，21岁，斗殴时被人用尖刀刺入右侧腰部，伤口有血液和尿液流出，排尿时有血尿伴有血块，血压115/75 mmHg，应采用哪种治疗方案
   A. 绝对卧床休息，观察血尿情况
   B. 抗休克治疗
 ->C. 手术探查
   D. 药物控制出血
   E. 包扎伤口

255. 患者男，18岁。诊断为单纯性甲状腺肿，无其他伴随症状。正确的处理方式是
   A. 口服抗甲状腺药物
 ->B. 多食含碘丰富的食物
   C. 口服小剂量甲状腺素
   D. 口服碘剂治疗
   E. 门诊观察

256. 患儿男，12岁。近1个月多次突发上腹剑突下钻顶样疼痛，呻吟不止，伴恶心、呕吐。腹痛可突然自行缓解。半小时前再次出现上述症状。查体：巩膜轻度黄染，全腹软，上腹剑突下轻度深压痛，无腹部肌紧张。诊断首先要考虑
   A. 急性非结石性胆囊炎
   B. 急性化脓性胆管炎
   C. 慢性非萎缩性胃炎
 ->D. 胆道寄生虫病
   E. 慢性胆囊炎

257. 男性，66岁。患冠心病多年。3小时前突然出现双下肢剧烈疼痛，行走困难，局部皮肤苍白。查体：双下肢股动脉搏动消失，双股以下皮温低，肌力4级。首先要考虑的诊断是
   A. 动脉硬化性动脉闭塞症
 ->B. 髂股动脉栓塞
   C. 血栓闭塞性脉管炎
   D. 急性动脉炎性狭窄症
   E. 急性大动脉炎

258. 患者，男性，46岁，车祸致伤，伤后6h入院，体检：昏迷，双侧瞳孔等大等圆，对光反应存在，四肢肌张力稍增高，体温39℃，有尿崩症。头颅CT示双侧额叶脑挫裂伤。血生化检查示Na<sup>+</sup>165 mmol/L，K<sup>+</sup>4.7 mmol/L。该患者除了脑挫裂访的诊断外，还应考虑下面诊断
   A. 弥漫性轴索损伤
   B. 原发性脑干伤
   C. 创伤性感染
 ->D. 下丘脑损伤
   E. 急性肾功能障碍

259. 患者男，62岁。2个月前发现皮肤发黄并逐渐加深，近1个月出现上腹胀痛，偶伴恶心、呕吐，自感体重明显下降。查体：全身皮肤、巩膜黄染，Courvoisier征阳性，腹部移动性浊音阳性。实验室检查：大便潜血试验（+）。诊断首先考虑
 ->A. 下段胆管癌
   B. 胆囊癌
   C. 肝门部胆管癌
   D. 中段胆管癌
   E. 胆总管结石

260. 男性，45岁。右上腹疼痛不适，无畏寒、发热、黄疸，B超检查时右肝有一直径3.5 cm占位病变。AFP1000U/L，最有效的治疗方法是
 ->A. 手术切除
   B. 化疗
   C. 放疗
   D. 免疫治疗
   E. 肝移植

261. 男性，8岁，面部多处暗红色、大小不等、形状不规则的扁平斑片，不高出皮肤表面.用手压之可褪色，放松后又恢复原色。根据患儿情况，治疗宜采取
   A. 手术切除
   B. 局部注射硬化剂
   C. 口服激素
 ->D. 激光治疗
   E. 冷冻治疗

262. 男性，25岁。因十二指肠球部溃疡出血，血压下降，给予输血400 ml。7天后突发寒战高热，体温达41℃，4小时后大汗淋漓，热骤退，隔日定时发作。实验室检查：WBC4.2×10<sup>9</sup>/L，N72%，PLT110×10<sup>9</sup>/L。诊断首先应考虑的是
   A. 过敏反应
 ->B. 疟疾
   C. 巨细胞病毒感染
   D. 迟发型溶血反应
   E. 细菌污染输血反应

263. 女性，40岁。黄疸、食欲减退2个月。查体：皮肤巩膜黄染，胆囊肿大可扪及。实验室检查：血胆红素171 μmol/L，碱性磷酸酶30U/L。诊断首先考虑
   A. 胆道蛔虫症
   B. 急性病毒性肝炎
   C. 先天性溶血性黄疸
   D. 胆总管囊肿
 ->E. 壶腹周围肿瘤

264. 男性，50岁。因肾病综合征入院作肾活检，病理显示膜性肾病。治疗过程中突然出现双侧肾区疼痛，尿量减少，低热，蛋白尿显著增多伴肉眼血尿，下肢浮肿加重，肾功能较前稍有减退。B超示双肾大小较前有所增大。此时最可能的原因是
   A. 伴发肾结石
   B. 原有膜性肾病加重
   C. 伴发泌尿系肿瘤
 ->D. 肾静脉血栓形成
   E. 泌尿系结核病

265. 患者，女性，63岁。冠心病史多年，反复水肿，尿少10年。查：Hb70 g/L，BP150/95 mmHg，尿蛋白（++），尿红细胞6～10个/HP，尿白细胞2～3个/HP，尿比重1.010～1.012，临床诊断为慢性肾小球肾炎，血BUN31 mmol/L，Cr407 μmol/L，CCr40 ml/min。该患者慢性肾衰竭分期应属于哪项
   A. 肾功能代偿期
   B. 尿毒症期
   C. 肾功能正常
 ->D. 肾功能失代偿期
   E. 肾衰竭期

266. 患者男，50岁。右下肢大隐静脉曲张6年。查体：血压160/100 mmHg。右下肢自腹股沟至踝部可见明显静脉曲张团球，个别静脉壁变薄突出，右小腿下1/3及踝部皮肤有色素沉着，未扪及结节。浅静脉瓣膜功能、交通支瓣膜功能试验阳性，深静脉功能试验阴性。血胆固醇210 mg/dl。目前，治疗宜采取
   A. 应用弹力绷带加压
   B. 大隐静脉高位结扎加静脉剥脱、切除术
   C. 大隐静脉高位结扎术
   D. 硬化剂局部注射
 ->E. 先内科治疗高血压，再考虑手术

267. 男性，35岁。上腹部剑突下被摩托车撞击后腹痛，呕吐1小时。查体：P120次/分，BP70/50 mmHg。面色苍白，痛苦面容，被迫体位。腹胀，全腹压痛，肌紧张及反跳痛明显。实验室检查：WBC10.5×10<sup>9</sup>/L，N81%，Hb8 g/dl。根据患者情况，诊断首先要考虑
