1. 患者，张某，女，32岁，因发现同房后出血3月就诊，行TCT检查示：LSIL，此患者进一步应行何种检查以确诊
   A. 急性起病，常伴高热
   B. 容易形成盆腔脓肿
   C. 经血循环传播
 ->D. 长期存在可致迟发超敏反应，加重黏膜损伤
   E. 通过释放内毒素导致黏膜炎症反应

213. 女性，28岁，未生育，因盆腔囊实肿块+大量腹水，行剖腹探查发现右附件粘连性肿块，术中活检卵巢报告“结核”。下一步处理为
   A. 肿块切除
   B. 患侧附件切除
   C. 病灶清除术
 ->D. 关腹，术后抗结核规范治疗
   E. 患侧附件切除，术后抗结核规范治疗

214. 初产妇，26岁，妊娠38周临产。查体：BP110/70 mmHg，HR80bpm。宫缩每3～4分钟一次，宫口从4 cm扩张至7 cm，用时2小时，骨盆各径线测量正常，估计胎儿体重3kg。下一步正确处理是
   A. 静脉滴注缩宫素
   B. 行人工破膜加速产程进展
   C. 抑制宫缩，使其维持至妊娠40周
 ->D. 不需干涉产程进展，等待自然分娩
   E. 行剖宫产术
解析：初产妇在规律宫缩前提下，宫口扩张＞4 cm，宫口扩张速度＞1.2 cm/小时，骨盆各径线测量正常，无胎儿体重异常。属于正常分娩，正确的做法是不采取干预措施，继续观察产程进展。

215. 女，32岁，初产妇，定期参加孕期产检，属于三级预防策略的哪一种
   A. 一级预防策略
 ->B. 二级预防策略
   C. 三级预防策略
   D. 四级预防策略
   E. 不属于预防策略
解析：产检属于二级预防。

216. 初产妇，26岁，妊娠38周临产。查体：BP110/70 mmHg，HR80bpm。宫缩每3～4分钟一次，宫口从4 cm扩张至7 cm，用时2小时，骨盆各径线测量正常，估计胎儿体重3kg。下一步正确处理是
   A. 静脉滴注缩宫素
   B. 行人工破膜加速产程进展
   C. 抑制宫缩，使其维持至妊娠40周
 ->D. 不需干涉产程进展，等待自然分娩
   E. 行剖宫产术
解析：初产妇在规律宫缩前提下，宫口扩张＞4 cm，宫口扩张速度＞1.2 cm/小时，骨盆各径线测量正常，无胎儿体重异常。属于正常分娩，正确的做法是不采取干预措施，继续观察产程进展。

217. 女，26岁。月经规律，现停经45天，阴道少量出血7天，时有阵阵腹痛或腰酸。妇科检查：宫颈软，摇摆痛（+），少量血染，宫体略大而软，附件（-），对此病例首先考虑何种疾病
   A. 子宫内膜癌
   B. 先兆流产
 ->C. 宫外孕
   D. 排卵型功血
   E. 无排卵型功血

218. 初产妇，27岁，妊娠40周临产，产程进展顺利，宫口开全无宫缩时胎心率减少至100次/分，羊水Ⅲ度污染，阴道检查发现胎儿骨质部分位于坐骨棘平面3 cm以下，下列何种方法最好
   A. 左侧侧卧位
   B. 立即剖宫产
   C. 胎儿电子监护
   D. 吸氧
 ->E. 吸氧并尽快阴道助产

219. 患者24岁，初产妇，规律宫缩8小时，阴道流液5小时，胎心130次/分。你认为符合下列哪项诊断
   A. 潜伏期延长
   B. 加速期延缓
   C. 加速期停滞
 ->D. 正常产程
   E. 第二产程延长

220. 已婚妇女，26岁。停经49天，出现下腹坠胀感2日。查体：子宫稍大呈球形。本例最可能的诊断不包括
   A. 早期妊娠
   B. 宫腔积血
   C. 子宫肌瘤
   D. 子宫腺肌病
 ->E. 卵巢囊肿

221. 某女，30岁，孕41周，自觉胎动减慢，行胎心率监测，无激惹试验（NST），提示胎心率变异消失。进一步行催产素激惹试验，出现晚期减速，可能为
   A. 胎头受压
   B. 脐带受压
 ->C. 胎盘功能减退
   D. 胎儿有先天心脏异常
   E. 迷走神经兴奋

222. 35岁初产妇，0-0-0-0，早孕期超声提示宫内1个孕囊，2个胚芽，现23周，行大排畸超声检查提示一胎儿（F1）正常，另一胎儿（F2）无脑儿。以下处理哪项正确
   A. 期待妊娠至自然分娩
   B. 胎儿镜下激光凝固术
   C. 建议孕妇选择引产终止妊娠
   D. KCL减胎术
 ->E. 射频消融减胎术

223. 经产妇，35岁，孕2产1，2年前曾因中央型前置胎盘行子宫体部剖宫产，现妊娠30周，6 h前突感剧烈腹痛，头晕，大汗淋漓，胎动停止，胎心音消失，胎体漂浮感，左下腹可扪及妊娠4月子宫大小的硬块，移动性浊音（+），最可能的诊断是
   A. 前置胎盘
 ->B. 子宫破裂
   C. 胎儿窘迫
   D. 胎盘植入
   E. 胎盘早剥

224. 女性，55岁，查出“卵巢畸胎瘤”10年，近2个月感腹胀、下坠、便意，体重下降。查体：腹部叩诊移动浊音（+），妇科检查：盆腔肿块12 cm，边界尚清晰，活动度差，子宫-直肠凹内散在硬性结节。最可能的诊断是
   A. 卵巢畸胎瘤
 ->B. 卵巢畸胎瘤恶变
   C. 卵巢畸胎瘤扭转
   D. 卵巢畸胎瘤破裂
   E. 卵巢畸胎瘤感染
解析：卵巢良性肿瘤恶变早期无症状，不易发现。若发现肿瘤生长迅速，尤其双侧性，应疑恶变。因此，确诊为卵巢肿瘤者应尽早手术。

225. 女性，32岁，停经10周，恶心、呕吐2周，诊断为妊娠剧吐，住院期间突然出现视力模糊，伴嗜睡，可能出现以下哪种并发症
   A. Meigs 综合征
   B. Mamory-Weiss综合征
 ->C. Wernick-Korsakov
   D. 暂时性甲状腺功能亢进
   E. Hegar sign

226. 初产妇，26岁，停经39周，无明显诱因出现阴道流液半小时入院。入院后处理错误的是
 ->A. 立即静滴缩宫素引产
   B. 行阴道窥器检查，明确是否胎膜早破
   C. B超检查羊水深度及胎儿情况
   D. 进行胎儿电子监护
   E. 观察，等待自然临产

227. 女性，28岁，，患慢性盆腔炎2年，反复发作，此次高热3天伴有下腹痛。妇科检查：子宫大小正常，左侧可及5 cm×6 cm×7 cm包块，不活动，压痛明显，最适宜的处理原则为
   A. 中药治疗
   B. 中药及抗生素治疗
 ->C. 抗生素治疗+剖腹探查术
   D. 抗生素及物理治疗
   E. 后穹隆切开引流术

228. 女性，妊娠8周要求终止妊娠。最常采用的方法为
   A. 钳刮术
   B. 依沙吖啶羊膜腔外注射
   C. 依沙吖啶羊膜腔内注射
 ->D. 负压吸引术
   E. 静脉滴注缩宫素

229. 患者31岁，性生活正常，未采取避孕措施，期待妊娠时间达几年可诊断为不孕症
 ->A. 1年
   B. 2年
   C. 3年
   D. 4年
   E. <p>5年</p>

230. 孕妇，38岁，双胎妊娠，现孕16周，过来咨询是否要行唐氏综合征检查，应告知
   A. 孕11~13<sup>+6</sup>周之间行NT检查
   B. 孕11~13<sup>+6</sup>周行血清学筛查
   C. 孕14〜20周之间行NT检查
   D. 孕14〜20周行血清学筛查
 ->E. 直接进行羊水穿刺

231. 初产妇，26岁，G<sub>1</sub>P<sub>0</sub>，38周妊娠，宫口开全，因羊水Ⅲ度混浊而行产钳助产术，娩出新生儿Apgar 1 min评分为3分，进行复苏急救，下列哪项处理是错误的
   A. 用于毛巾擦干全身
   B. 立即置新生儿于保暖台进行抢救
   C. 气管插管吸尽鼻腔和口腔混浊羊水
 ->D. 用各种刺激使新生儿大声啼哭
   E. 给面罩氧气吸入

232. 妊娠合并风湿性心脏病患者，心功能Ⅳ级。经阴分娩。产褥期处理不正确的是
   A. 卧床休息
   B. 严密监护心率、呼吸、血压变化
   C. 广谱抗生素预防感染至产后7天
 ->D. 不宜母乳喂养，补佳乐回奶
   E. 可以在产后一周左右选择行绝育手术
解析：补佳乐为雌激素，大剂量雌激素回奶可以影响凝血功能，引起血栓栓塞。回奶方法一般选用芒硝外敷法。

233. 女性，28岁，G<sub>3</sub>P<sub>1</sub>，3年前顺产1胎，妊娠37周，3 h前开始有阴道流液，湿透内裤，无伴腹痛。窥器检查：宫颈光滑，清亮液体自宫口流出，混有胎脂，测液体pH试纸变蓝色。B超提示宫内单活胎，头位，羊水深度19 mm，胎儿估重2.6 kg。此时的处理
   A. 应用缩宫素抑制药
   B. 用地塞米松促胎肺成熟
 ->C. 催产素引产
   D. 等待自然临产
   E. 使用抗生素预防感染

234. 患者孕7周，既往曾生育一进行性肌营养不良患儿，要求排除该胎儿是否患病，如果此时给患者进行绒毛活检，会导致以下什么风险
   A. 胎儿先天性心脏病
   B. 胎儿脊柱裂
 ->C. 胎儿肢体缺陷
   D. 胎儿染色体异常
   E. 胎儿智力异常

235. 患者，女性，35岁，近1周自觉外阴有肿物，不伴肿痛，无发热。妇科检查发现，肿物位于左侧大阴唇下1/3深部，囊性感，直径约3 cm，无红肿触痛，初步诊断
   A. 外阴疖肿
 ->B. 前庭大腺囊肿
   C. 阴唇囊肿
   D. 毛囊炎
   E. 前庭大腺脓肿

236. 经产妇，37岁，孕2产1，7年前曾因“产程异常”行剖宫产分娩一女婴，今晨10：00出现规律宫缩，强度较弱，孕妇及其家属要求阴道试产，查宫口开大6 cm，中午14：00查宫口开大6 cm，胎心音下降，恰当的处理是
   A. 观察病情变化
   B. 立即行阴道检查明确诊断
   C. 立即行缩宫素催产，宫口全开后经阴道助产
   D. 立即缩宫素催产，观察病情变化
 ->E. 立即行剖宫产术

237. 已婚女性，停经56天，恶心、呕吐、不能进食8天就诊，其辅助检查结果不正确的是
   A. 尿比重增加
   B. 血红蛋白及血细胞比容升高
 ->C. 血钾升高
   D. 二氧化碳结合力下降
   E. 转氨酶升高
解析：呕吐造成钾的丢失，不能进食切断了钾的摄入，所以血钾下降。

238. 女性，34岁，近1年来经期持续时间延长，经量不多，伴经期腹痛，经期尚规律；既往月经规律，IUD避孕。以下哪项诊断可能性最小
   A. 排卵型功血
 ->B. 无排卵型功血
   C. 子宫肌瘤
   D. IUD副作用
   E. 子宫内膜息肉

239. 患者停经近7周时诊断为早孕，人工流产术失败，继续妊娠至16周时，患者突然出现剧烈下腹部疼痛，伴心悸头晕，四肢湿冷，面色苍白，移动性浊音（+），最可能的诊断是
   A. 输卵管妊娠破裂
 ->B. 残角子宫妊娠破裂
   C. 胎盘早剥
   D. 瘢痕子宫破裂
   E. 妊娠黄体破裂

240. 女性，30岁，月经稀发两年。腹腔镜检查发现双侧卵巢增大，表面光滑，白膜增厚硬化，包膜下有多个小卵泡，考虑诊断是
   A. 卵巢早衰
   B. 卵巢肿瘤
 ->C. 多囊卵巢综合征
   D. 卵巢过度刺激综合征
   E. 抵抗性卵巢综合征

241. 42岁，外阴严重瘙痒3年余，外阴皮肤增厚，并出现不同程度的破损、皲裂、隆起。该病人应首选哪项检查
   A. 刮片细胞学检查
   B. 分泌物细菌学检查
   C. 阴道镜检查
 ->D. 活组织病理检查
   E. B超检查

242. 孕妇33周妊娠，规律宫缩1小时，无阴道流血，无发热。已经确诊为早产，为确定母婴状况，以利于治疗，可进行的检查不包括
   A. B超
   B. 胎心监护
   C. 阴道检查及阴道流液涂片
   D. 胎膜已破者，行羊水检查
 ->E. 胎儿纤维连接蛋白
解析：胎儿纤维连接蛋白如果在宫颈黏液中出现，预示在近期发生早产的可能性比较大，是用来预测早产发生的方法，对母婴的状况无明确帮助。

243. 初产妇，32岁，孕34周，重度胎盘早剥，行剖宫产术时见子宫表面有紫色瘀斑，尤其胎盘附着处更为显著，子宫出血仍多，此时处理哪项不正确
   A. 按摩、热敷子宫
   B. 子宫肌壁内注射缩宫素
   C. 经积极处理子宫仍不收缩应考虑切除子宫
 ->D. 出现血液不凝时，不宜行子宫切除术，增加创面
   E. 配血、、输血
解析：子宫胎盘卒中，必要时应行子宫切除术挽救生命。

244. 初产妇，26岁，停经39周，无明显诱因出现阴道流液半小时入院。入院后处理错误的是
 ->A. 立即静滴缩宫素引产
   B. 行阴道窥器检查，明确是否胎膜早破
   C. B超检查羊水深度及胎儿情况
   D. 进行胎儿电子监护
   E. 观察，等待自然临产

245. 经产妇，35岁，孕2产1，2年前曾因中央型前置胎盘行子宫体部剖宫产，现妊娠30周，6 h前突感剧烈腹痛，头晕，大汗淋漓，胎动停止，胎心音消失，胎体漂浮感，左下腹可扪及妊娠4月子宫大小的硬块，移动性浊音（+），最可能的诊断是
   A. 前置胎盘
 ->B. 子宫破裂
   C. 胎儿窘迫
   D. 胎盘植入
   E. 胎盘早剥

246. 患者女性，35岁，主诉三日来淡薄的泡沫状白带增多，并有外阴瘙痒、灼痛、并伴尿频、尿痛，妇科检查见阴道黏膜充血，后穹隆多量白带，呈黄白色泡沫状，阴道排泄物悬滴法镜检，念珠菌阳性，应当诊断为
   A. 淋病
   B. 生殖器疱疹
 ->C. 滴虫性阴道炎
   D. 念珠菌阴道炎
   E. 细菌性阴道炎

247. 女性，46岁，已婚已育，痛经10年余，近3年来，月经量多并出现贫血，药物治疗无效，妇科检查：子宫孕2月大小，球形，质硬，双侧附件区未及异常，首选的治疗方法是
   A. 加量孕激素类药物
 ->B. 子宫切除术
   C. 手术病灶切除
   D. 试用GnRH-a治疗
   E. 加量孕三烯酮治疗

248. 女性，25岁，已婚，阴道分泌物增多1周，伴臭味，查体分泌物稀薄、黄绿色，宫颈有出血点，呈“草莓样”。生理盐水悬滴法查到阴道毛滴虫。下列治疗正确的是
 ->A. 口服甲硝唑
   B. 口服氟康唑
   C. 局部应用甲硝唑
   D. 阴道应用替硝唑
   E. 阴道应用硝酸咪康唑

249. 孕妇，25岁，现孕27周，近1月出现反复咳嗽，伴低热、乏力、盗汗，体重不增。胎心胎动正常。目前考虑诊断为
   A. 妊娠合并支气管哮喘
   B. 妊娠合并肺炎
   C. 妊娠合并肺脓肿
 ->D. 妊娠合并肺结核
   E. 妊娠合并支气管炎

250. 孕妇，25岁， G<sub>2</sub>P<sub>0</sub>，32周妊娠，无痛性阴道流血约400 ml 入院，初步诊断为前置胎盘。问前置胎盘指胎盘部分或全部附着于
   A. 子宫底部
   B. 子宫前壁
   C. 子宫后壁
   D. 子宫侧壁
 ->E. 子宫颈内口

251. 孕妇诊断FGR，孕36周 门诊随访，以下哪项异常，建议患者终止妊娠
   A. 治疗后FGR无改善，胎儿停止生长3周以上
   B. 胎盘提前老化，伴有羊水过少等胎盘功能低下表现
   C. NST、胎儿生物物理评分及胎儿血流测定等提示胎儿缺氧
   D. 妊娠合并症、并发症病情加重，妊娠继续将危害母婴健康或生命者
 ->E. 以上都是

252. 女，23岁，孕35周，近两周出现乏力、食欲不振，三天前出现眼黄、肤黄，无皮肤瘙痒，生化全套提示谷丙转氨酶、谷草转氨酶、直接胆红素、间接胆红素、尿素氮、肌酐、甘油三酯均显著升高，总胆汁酸正常；凝血五项提示APTT、PT均延长；肝炎全套结果为阴性。其最可能的诊断是
   A. 妊娠合并肝功能损害
   B. 妊娠期肝内胆汁瘀积症
 ->C. 妊娠期急性脂肪肝
   D. 妊娠合并重症肝炎

253. 初产妇，30岁，妊娠20周，门诊查体提示宫底24 cm，多普勒胎心仪听到两个频率不同的胎心音，怀疑双胎妊娠。首选下列哪种辅助检查 以明确诊断
 ->A. B型超声
   B. 腹部X线
   C. CT
   D. 腹腔镜
   E. MRI

254. 女性，26岁，孕2～3个月反复自然流产3次，月经规律，基础体温双相，丈夫精液检查正常，建议行输卵管造影检查（HSG），目的是确定
   A. 输卵管是否通畅
 ->B. 是否存在子宫畸形如：纵隔、双角、单角子宫等
   C. 是否存在输卵管结核
   D. 是否存在免疫异常
   E. 是否存在黄体功能不全
解析：子宫畸形是引起反复流产的重要原因，HSG有助诊断。

255. 初产妇，21岁。停经6个月。胎动消失6周。查B超提示：死胎。BPD4.8 cm，颅骨重叠。血纤维蛋白原1.3 g/L，血小板84×10<sup>9</sup>/L，入院处理错误的是
   A. 补充凝血因子及纤维蛋白原
   B. 纤维蛋白原、血小板恢复到有效止血水平后引产
   C. 可以应用羊膜腔内注射依沙吖啶引产
   D. 积极预防产后出血
 ->E. 禁用肝素治疗
解析：胎儿死亡超过4周者需常规行凝血功能检查，如纤维蛋白原＞1.5 g/L，血小板＞100×10<sup>9</sup>/L，可给予肝素0.5 mg/kg q6 h，一般用药24～48小时后可使纤维蛋白原和血小板恢复到有效的止血水平。纠正凝血功能异常后方可引产。

256. 患者32岁，两年前分娩时产后大出血、休克，产后无乳汁，出现闭经至今，并伴有毛发脱落，消瘦乏力。最可能为
   A. Swyer综合征
 ->B. 希恩（Sheehan）综合征
   C. 阿谢曼（Asherman）综合征
   D. 多囊卵巢综合征
   E. 特纳（Turner）综合征

257. 女，58岁，已婚未孕，绝经10年，阴道阵发性排血水1个月，伴右下腹阵发性疼痛。最可能的诊断为
   A. 子宫内膜癌伴宫腔积脓
 ->B. 输卵管癌
   C. 卵巢癌
   D. 宫颈癌
   E. 子宫肉瘤癌

258. 40周妊娠，临产12小时，胎膜已破，宫缩不规律，强度较弱，缩宫素使用方法错误的是
   A. 从小剂量开始，缩宫素2.5U加入5%葡萄糖液500 ml开始速度为8滴/分钟
   B. 用药后15分钟内调整到有效剂量（宫缩间歇2～3分钟，宫缩持续40秒以上，宫腔压力不超过60 mmHg）
   C. 缩宫素最大给药浓度不超过7.5 mU
 ->D. 缩宫素不影响血压，无需检测血压
   E. 用药时应有医生或助产士专人观察宫缩及胎心改变

259. 27岁，顺产后10天，出现低热，恶露多、有臭味。查体：贫血貌，子宫约妊娠4个月大，有明显压痛，左附件区明显压痛、软包块，边界不清。不恰当处置是
   A. B型超声检查盆腔
   B. 取宫腔分泌物行细菌培养
   C. 静滴广谱抗生素
   D. 中药辅助治疗
 ->E. 宫腔取样+细菌培养

260. 女性，26岁。痛经3年逐渐加重，月经量增多，本次行经10日，血仍未止，2年前因不孕做过输卵管通液治疗，子宫较正常略大，后位，不活动，右侧触及4cm×4cm×3cm大的韧性包块与子宫粘连；左侧附件增厚，双宫骶韧带均触及豆粒大痛性结节，本病首先考虑为
   A. 陈旧性宫外孕
   B. 生殖器结核
   C. 慢性盆腔炎
 ->D. 子宫内膜异位症
   E. 输卵管卵巢囊肿

261. 孕妇，24岁，现孕30周，昨天起突然出现腹痛，伴恶心呕吐胃内容物，右侧腹部有可疑压痛，有不规则宫缩，宫缩间歇期子宫软，放松好，胎心145 bpm，考虑诊断及鉴别诊断，哪一项可能性最小
   A. 胎盘早剥
 ->B. 妊娠合并阑尾炎
   C. 妊娠合并肠梗阻
   D. 妊娠合并胆囊炎
   E. 子宫破裂

262. 30岁经产妇，妊娠28周出现皮肤瘙痒，巩膜轻微发黄半月余，未诉其他不适。查体：血压128/73 mmHg，前次妊娠有同样病史，于产后黄疸自行消退，血ALT 140 U/L，TBA 25 μmol/L，总胆红素 19 μmol/L，本例最可能的诊断及主要诊断指标是
   A. 妊娠期急性脂肪肝，严重瘙痒和黄疸
 ->B. 妊娠期肝内胆汁淤积症，血清胆汁酸升高
   C. 妊娠期肝内胆汁淤积症，肝功能异常
   D. 急性病毒性肝炎，胆红素升高
   E. 急性病毒性肝炎，血肝胆酸升高

263. 32岁初产妇，孕7周时超声提示“一个孕囊，内见两个胚芽”，孕19周外院诊断羊水过多由乡镇医院转入，查体：子宫张力高，宫底达36 cm，孕妇不能平卧，两胎儿胎心好。以下那项超声指标对TTTS（双胎输血综合征）诊断最有价值
   A. 两个胎儿体重相差较大
   B. 其中一个胎儿脐血流出现异常
 ->C. 一胎儿羊水过多，另一胎儿羊水过少，呈“贴附儿”
   D. 两胎儿之间未见羊膜分隔
   E. 一胎儿出现严重水肿（胸腹腔积液）

264. 女性，36岁，药物流产后阴道反复流血，再次清宫术后，出现下腹坠痛，B超发现盆腔包块1天。妇科检查：子宫后位、正常大小、压痛，左附件区可触及直径约6 cm的包块，囊性，边界不清，压痛明显。最可能的诊断为
   A. 盆腔脓肿
 ->B. 左附件炎性包块
   C. 卵巢恶性肿瘤
   D. 左卵巢良性肿瘤
   E. 左卵巢囊肿蒂扭转

265. 孕妇，30岁，G<sub>1</sub>P<sub>0</sub>，36周妊娠，2 h前腹部受外伤后出现持续性腹痛而入院。检查：孕妇脸色苍白，血压10.64/6.65 kPa （80/50 mmHg），胎心率168次/分，子宫底位于剑突下2指，子宫压痛、张力高。正确处理方法为
   A. 给予镇静镇痛剂
   B. 人工破膜术
 ->C. 纠正休克，同时行剖宫产术
   D. 应用子宫收缩抑制剂
   E. 纠正休克后继续妊娠

266. 女性，27岁，孕6个月余，白带多，尿频、尿急、尿痛一天，查体见阴道内大量脓性分泌物，取宫颈管处分泌物涂片，在多核白细胞内发现多个革兰阴性双球菌，可做出妊娠合并淋病的初步诊断，下列哪项叙述是不恰当的
   A. 妊娠早期感染淋菌可导致感染性流产与人工流产后感染
   B. 以宫颈管受感染最为多见
 ->C. 妊娠中期的淋菌感染对妊娠预后没有影响
   D. 妊娠晚期合并淋病易引起胎膜早破
   E. 妊娠期感染淋菌易导致胎儿宫内感染

267. 患者，张某，女，32岁，因发现同房后出血3月就诊，行TCT检查示：LSIL，此患者进一步应行何种检查以确诊
   A. 阴道镜检查
   B. 诊断性刮宫
 ->C. 宫颈活织检查
   D. 高危型HPV检测
   E. 宫颈锥切术

268. 女性，43岁，月经周期延长，约2个月来潮1次，经期8～10日，经量多。为确诊生殖内分泌失常类型，在月经来潮前4日检查，最有价值的辅助检查方法应是
   A. 测基础体温
   B. 测血清雌二醇值
   C. 超声测定子宫内膜的厚度
 ->D. 子宫内膜活组织检查
   E. 测尿孕二醇值

269. 女，30岁，月经稀少8年，婚后3年不孕，伴有经期发热，妇科检查：宫颈光滑，子宫后倾，正常大小，活动欠佳，双附件压之酸胀感，血沉30 mm/h，最可能的诊断是
   A. 慢性盆腔炎
   B. 子宫内膜异位症
 ->C. 子宫内膜结核
   D. 小型子宫肌瘤
   E. 席汉氏综合征

270. 患者，女性，35岁，近1周自觉外阴有肿物，不伴肿痛，无发热。妇科检查发现，肿物位于左侧大阴唇下1/3深部，囊性感，直径约3 cm，无红肿触痛，初步诊断
   A. 外阴疖肿
 ->B. 前庭大腺囊肿
   C. 阴唇囊肿
   D. 毛囊炎
   E. 前庭大腺脓肿

271. 女，30岁，因“停经6个月，上腹痛伴恶心呕吐3天”入院，体查：体温38℃，脉搏110次/分，呼吸20次/分，血压115/70 mmHg，上腹部有压痛、反跳痛及肌紧张，移动性浊音（+），肠鸣音弱。目前应首选哪项影像学检查
   A. 腹部平片
 ->B. 腹部B超
   C. 腹部CT
   D. PET-CT
   E. 腹部MR

272. 女，28岁，继发不育，22岁时人工流产一次，之后患盆腔炎住院治疗。现有痛经及性交痛。妇科检查：子宫后位固定，双附件区增厚，轻度触痛。下一步的处理是
   A. 药物治疗
 ->B. 腹腔镜诊断
   C. 物理治疗
   D. 剖腹探查
   E. 试管婴儿

273. 女性，30岁，停经56天，B超提示宫内单胎妊娠，近1周来恶心呕吐，无法进食，无腹痛、腹泻，无阴道流血、流液，测尿酮体（+++），应考虑的诊断
   A. 急性胃肠炎
   B. 葡萄胎
   C. 消化性溃疡
 ->D. 胆囊炎
   E. 妊娠剧吐

274. 已婚女性，停经56天，恶心、呕吐、不能进食8天，查体心率130次/分，血压80/40 mmHg，皮肤黏膜干燥，面色苍白，治疗4天症状无缓解，嗜睡，此时最恰当的处理是
 ->A. 终止妊娠
   B. 鼓励正常进食
   C. 肌注黄体酮保胎
   D. 应用多巴胺升压
   E. 静脉补充氨基酸及脂肪乳
解析：如果病情无好转，体温持续超过38℃，脉搏超过120次/分，持续黄疸或蛋白尿，伴发Wernicke脑病，应考虑终止妊娠。

275. 28岁，因卵巢直径10 cm肿块，行腹腔镜手术治疗，对侧卵巢正常。术中完整剥除肿瘤，快速病理为“浆液性囊腺瘤”，手术方案为
 ->A. 肿瘤切除
   B. 患侧附件切除
   C. 患侧卵巢切除
   D. 患侧附件+子宫切除
   E. 双附件+子宫切除

276. 患者经产妇，现孕36周，10天前出现纳差、乏力，3天前出现皮肤黏膜黄染，并逐渐加重，入院发现胎儿死亡，有不规则宫缩，下一步处理是
   A. 等待自然分娩
   B. 缩宫素加强宫缩
 ->C. 剖宫取胎
   D. 等待宫口开大后毁胎
   E. 缩宫素引产

277. 女性，28岁，月经不规律，停经60天，B超检查证实宫内妊娠，妊娠囊2.3 cm，既往有哮喘病史，现要求终止妊娠，最合适的方法是
   A. 米非司酮配伍米索前列醇
 ->B. 负压吸引术
   C. 依沙吖啶宫腔内注射
   D. 缩宫素引产
   E. 钳刮术
解析：该患者尽管停经60天，但妊娠囊＜2.4 cm（提示实际妊娠天数＞49天）适合药物流产，但是米非司酮具有抗糖皮质激素的作用，可以诱发哮喘发作，所以行负压吸引术较为合适。

278. 孕妇36周妊娠，自述于翻身、行走时经常出现腹部发紧，无痛感，阴道检查宫口未开，宫颈管未消失，此时最恰当的诊断为
   A. 先兆流产
   B. 早产临产
   C. 先兆早产
   D. 先兆临产
 ->E. 生理性宫缩
解析：生理性宫缩不规则、无痛感、不伴宫颈管消失。

279. 初产妇，34岁，39周妊娠，以往有高血压史。摔交后腹痛6 h来就诊。检查：胎心听到，血压11.97/7.98 kPa（90/ 60 mmHg），子宫张力高，左前壁处压痛。立即行剖宫产术，取出 胎儿已死亡，见子宫前壁呈紫铜包，后壁有散在均匀淤斑，出血量多，注射子宫收缩剂无效。此时的紧急处理方法是
 ->A. 行子宫切除术
   B. 宫腔填塞纱条
   C. 输血、输液
   D. 治疗肾功能衰竭
   E. 治疗弥散性血管内凝血（DIC）

280. 经产妇，30岁，妊娠39周，临产后宫缩强，胎儿娩出后感觉呼吸困难，阴道流血不止，血液不凝。此时考虑最可能的诊断是
 ->A. 羊水栓塞
   B. 软产道裂伤
   C. 胎盘嵌顿
   D. 胎盘早剥
   E. 子宫破裂

281. 女性，30岁，经阴分娩后5天，出现急性下腹痛伴发热1天，腹部肿块增大至脐部。孕前查体曾发现合并子宫肌瘤，未治疗。该患者最可能的诊断是
   A. 产褥期感染
   B. 卵巢肿瘤蒂扭转
 ->C. 子宫肌瘤红色变
   D. 胎盘残留并感染
   E. 子宫肌瘤玻璃样变

282. 女，14岁，周期性下腹痛5个月，无月经来潮，首选的检查是
   A. 内分泌激素检查
   B. B型超声检查
   C. 肛腹诊检查
 ->D. 外阴视诊检查
   E. 双合诊检查

283. 女性，30岁，肥胖，阴道炎反复发作，如不治疗几乎每月均有大量豆腐渣样白带，且瘙痒严重。给该患者的治疗建议错误的是
   A. 减轻体重，穿透气衣裤
 ->B. 性伴侣无需治疗
   C. 避免常规阴道冲洗
   D. 根据分泌物培养和药敏结果选择药物
   E. 强化治疗后要巩固治疗
解析：难治性VVC又称复杂性VVC，包括重度VVC、复发性VVC、妊娠期VVC。难治性VVC建议性伴侣也检查治疗。

284. 56岁，绝经2年，阴道不规则出血15天，无腹痛，阴道脱落细胞学检查为ASC-US，妇科检查：宫颈糜烂样改变，宫体略大，双宫旁（-），进一步应
   A. 宫颈锥切术
   B. 宫颈LEEP切除术
   C. 子宫切除术
 ->D. 诊刮及宫颈活组织检查
   E. 宫腔镜
解析：CIN和宫颈癌的确诊最终都要依据宫颈的活体组织病理检查，同时诊刮可排除内膜癌。

285. 32岁初产妇，孕38周临产，臀位，胎儿估计体重4000 g，骨盆测量为：髂棘间径24 cm，髂嵴间径27 cm，骶耻外径18.5 cm出后横泾7.5 cm分娩的处理应为
   A. 催产素加强宫缩
   B. 臀助产术
   C. 人工破膜
 ->D. 剖宫产术
   E. 充分试产

286. 女性生殖系统的良性肿瘤，最常见的是
   A. 子宫颈息肉
   B. 卵巢畸胎瘤
 ->C. 子宫肌瘤
   D. 巴氏腺囊肿
   E. 卵巢浆液性囊腺瘤

287. 女性，33岁，婚后5年不孕，痛经，进行性加重，妇科检查：宫骶韧带处可触及痛性结节2个，右侧附件区可触及8 cm×7 cm×6 cm大小肿块，活动差，最有效的确诊和治疗方法是
   A. B型超声+导引穿刺
   B. B超导引穿刺+助孕
   C. B超导引穿刺+囊内注入酒精
   D. 开腹手术切除右附件
 ->E. 诊断性腹腔镜+术中治疗或+术后药物治疗
